Provider,Specialty,City,State / Country,Total Medicare payments
"RURAL/METRO OF CENTRAL COLORADO, INC.",Ambulance Service Supplier,AURORA,CO,"$4,346,311.67"
UNIVERSITY PHYSICIANS INCORPORATED,Clinical Laboratory,AURORA,CO,"$2,036,958.48"
MITOMICS (USA) INC.,Clinical Laboratory,AURORA,CO,"$986,364.71"
"SWANSON, MARVIN L",Obstetrics/Gynecology,AURORA,CO,"$845,150.64"
"CAPITAL CITY AMBULANCE, LLC",Ambulance Service Supplier,AURORA,CO,"$735,453.75"
"DANIEL, WILLIAM E",Radiation Oncology,AURORA,CO,"$726,859.84"
"ELDRIDGE, JOAN E",Cardiology,AURORA,CO,"$696,290.50"
"BURKE, JOHN M",Hematology/Oncology,AURORA,CO,"$691,034.58"
"CARTER, DENNIS L",Radiation Oncology,AURORA,CO,"$671,826.64"
"CHAPMAN, JAMES T",Dermatology,AURORA,CO,"$537,951.15"
"DIAB, SAMI",Hematology/Oncology,AURORA,CO,"$510,288.71"
"NALLAPAREDDY, SUJATHA",Hematology/Oncology,AURORA,CO,"$487,619.49"
"LUCAS, LOUIS W",Diagnostic Radiology,AURORA,CO,"$481,069.36"
"OLIVER, SCOTT",Ophthalmology,AURORA,CO,"$459,292.55"
"WAINTRUB, MAURICIO L",Internal Medicine,AURORA,CO,"$449,456.12"
YEN LABORATORIES INC.,Slide Preparation Facility,AURORA,CO,"$435,850.92"
"AMSBAUGH, SEAN T",Dermatology,AURORA,CO,"$407,362.04"
"NEID, JAMES M",Infectious Disease,AURORA,CO,"$404,590.08"
"CHER, LLC",Independent Diagnostic Testing Facility,AURORA,CO,"$396,196.94"
"PATEL, CHIRAG",Ophthalmology,AURORA,CO,"$344,973.57"
"JOHNSON, DARLENE S",Dermatology,AURORA,CO,"$337,837.10"
"MELLETTE, JULIAN R",Dermatology,AURORA,CO,"$332,572.43"
"KRUTSCH, JASON",Anesthesiology,AURORA,CO,"$321,813.27"
"PRAGER, NELSON A",Cardiology,AURORA,CO,"$319,650.98"
"SHIELDS, ROBERT L",Ophthalmology,AURORA,CO,"$317,506.23"
"ONUOHA, FRANCISCA I",Internal Medicine,AURORA,CO,"$305,747.23"
"ALYASEEN, SAMER",Infectious Disease,AURORA,CO,"$303,100.44"
"FARAGHER, DAVID C",Hematology/Oncology,AURORA,CO,"$299,058.13"
"MAINO, KIMBERLY",Dermatology,AURORA,CO,"$297,027.76"
"KESSELMAN, STEPHEN E",Ophthalmology,AURORA,CO,"$296,188.82"
"GOLITZ, LOREN",Dermatology,AURORA,CO,"$293,008.85"
"JIWANI, SHABANA",Internal Medicine,AURORA,CO,"$270,429.31"
"AYYAR, SANDHYA C",Infectious Disease,AURORA,CO,"$269,392.60"
"MOLK, BARRY L",Cardiology,AURORA,CO,"$264,953.38"
"TARAVELLA, MICHAEL",Ophthalmology,AURORA,CO,"$260,772.73"
"FUENZALIDA, CHARLES E",Cardiology,AURORA,CO,"$259,680.17"
"PEACOCK, JOEL H",Geriatric Medicine,AURORA,CO,"$252,979.33"
"MIZUNO, PHILIP B",Nurse Practitioner,AURORA,CO,"$243,909.21"
"NIRANJAN, BOOKANAKERE",Geriatric Medicine,AURORA,CO,"$235,477.29"
"SPIEGEL, DAVID",Nephrology,AURORA,CO,"$235,027.28"
"CROWLEY, STEPHEN T",Cardiology,AURORA,CO,"$219,939.68"
"PANTCHEVA, MINA",Ophthalmology,AURORA,CO,"$216,015.39"
"KATTA, SUSHANTHI",Internal Medicine,AURORA,CO,"$211,955.37"
"KANG, CHANG W",Internal Medicine,AURORA,CO,"$210,829.01"
"ABUABA, ROMANO N",Internal Medicine,AURORA,CO,"$210,035.59"
"DAVIDSON, RICHARD",Ophthalmology,AURORA,CO,"$209,926.60"
"DIBELLA, NICHOLAS J",Hematology/Oncology,AURORA,CO,"$209,225.18"
"GRUEN, MELISSA B",Family Practice,AURORA,CO,"$205,383.15"
"ORD, JOHN M",Cardiology,AURORA,CO,"$201,616.68"
"BHATTARAI, NIMESH",Internal Medicine,AURORA,CO,"$200,974.00"
"HIRSCH, CECILIA M",Cardiology,AURORA,CO,"$196,425.02"
"MILLER, FREDERICK C",Cardiology,AURORA,CO,"$193,365.12"
"PREVEDEL, JOHN A",Cardiology,AURORA,CO,"$190,778.15"
"FINEMAN, BRUCE G",Internal Medicine,AURORA,CO,"$190,518.77"
"WATSON, CLAY C",Infectious Disease,AURORA,CO,"$190,028.78"
"WEAVER, MICHELLE L",Nurse Practitioner,AURORA,CO,"$187,756.71"
"COHEN, ANDREW I",Cardiology,AURORA,CO,"$186,585.83"
"GREENBERG, JERRY H",Internal Medicine,AURORA,CO,"$185,400.16"
"MOON, JAE JOON",Physical Therapist,AURORA,CO,"$183,837.38"
"KROLL, JING L",Infectious Disease,AURORA,CO,"$183,085.34"
"NAWAZ, DILSHER M",Cardiology,AURORA,CO,"$175,531.19"
"NEILL, TRAVIS J",Physician Assistant,AURORA,CO,"$170,990.52"
