Provider,Specialty,City,State / Country,Total Medicare payments
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,COLORADO SPRINGS,CO,"$3,899,589.94"
AUDUBON AMBULATORY SURGERY CENTER LLC,Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$2,786,634.31"
"RICH, RYAN M",Ophthalmology,COLORADO SPRINGS,CO,"$1,480,917.46"
"CHITTUM, MARK E",Ophthalmology,COLORADO SPRINGS,CO,"$1,444,861.04"
"LUU, JAMES K",Ophthalmology,COLORADO SPRINGS,CO,"$1,373,847.64"
"KISSING CAMELS SURGERY CENTER, LLC",Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$1,172,000.73"
"CHUNG, VINH Q",Dermatology,COLORADO SPRINGS,CO,"$1,073,075.42"
"WILLIAMS, JONATHAN G",Ophthalmology,COLORADO SPRINGS,CO,"$988,774.63"
"WRIGHT, JOHN R",Ophthalmology,COLORADO SPRINGS,CO,"$931,756.88"
"MURPHY, TIMOTHY J",Medical Oncology,COLORADO SPRINGS,CO,"$890,381.11"
"SAYRE, ROBERT L",Hematology/Oncology,COLORADO SPRINGS,CO,"$849,618.86"
"KIM, HYUN S",Medical Oncology,COLORADO SPRINGS,CO,"$830,672.31"
"COLORADO SPRINGS HEALTH PARTNERS, PC",Clinical Laboratory,COLORADO SPRINGS,CO,"$812,267.71"
QUANTUM LLC,Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$805,924.29"
"BRANTLEY, DAVID S",Hematology/Oncology,COLORADO SPRINGS,CO,"$799,557.53"
"TELL, DANIEL T",Hematology/Oncology,COLORADO SPRINGS,CO,"$763,153.47"
"SNIEZEK, PATRICK J",Dermatology,COLORADO SPRINGS,CO,"$756,187.21"
"NOVAMED SURGERY CENTER OF COLORADO SPRINGS, LLC",Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$735,134.67"
"DECAROLIS, PAUL A",Hematology/Oncology,COLORADO SPRINGS,CO,"$733,640.33"
"HEADLEY, DAVID L",Hematology/Oncology,COLORADO SPRINGS,CO,"$728,864.84"
"CHANG, MATTHEW K",Ophthalmology,COLORADO SPRINGS,CO,"$686,906.85"
"YOUNG, JAMES A",Hematology/Oncology,COLORADO SPRINGS,CO,"$648,074.43"
"MATEI, MIHAELA C",Medical Oncology,COLORADO SPRINGS,CO,"$631,592.63"
"COLORADO SPRINGS HEALTH PARTNERS, PC",Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$581,871.06"
COLORADO SPRINGS IMAGING LLC,Independent Diagnostic Testing Facility,COLORADO SPRINGS,CO,"$563,240.44"
"ARORA, PRATHEEP",Internal Medicine,COLORADO SPRINGS,CO,"$550,896.10"
COLORADO SPRINGS EYE SURGERY CENTER,Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$546,018.10"
"CARROLL, MARK P",Family Practice,COLORADO SPRINGS,CO,"$543,145.42"
"MATHESON, BRETT K",Dermatology,COLORADO SPRINGS,CO,"$506,422.20"
"ALBERT, JAMES D",Thoracic Surgery,COLORADO SPRINGS,CO,"$505,492.87"
"ENDOSCOPY CENTER OF COLORADO SPRINGS, LLC",Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$489,590.10"
"DEWEY, STEVEN",Ophthalmology,COLORADO SPRINGS,CO,"$480,029.49"
PIKES PEAK ENDOSCOPY AND SURGERY CENTER,Ambulatory Surgical Center,COLORADO SPRINGS,CO,"$476,806.36"
"WEISBROD, MARK A",Ophthalmology,COLORADO SPRINGS,CO,"$474,922.43"
"ZINN, CHARLES J",Hematology/Oncology,COLORADO SPRINGS,CO,"$465,069.84"
DIAGNOSTIC HEALTH CENTER OF COLORADO SPRINGS LIMITED PARTNERSHIP,Independent Diagnostic Testing Facility,COLORADO SPRINGS,CO,"$458,069.41"
"CORBETT, AUSTIN J",Rheumatology,COLORADO SPRINGS,CO,"$449,620.86"
"LOGSDON, MATTHEW S",Hematology/Oncology,COLORADO SPRINGS,CO,"$449,243.63"
"BOWDISH, MATTHEW S",Allergy/Immunology,COLORADO SPRINGS,CO,"$432,720.92"
"LEE, JAMES H",Ophthalmology,COLORADO SPRINGS,CO,"$421,924.77"
"ANDERSON, REAGAN B",Dermatology,COLORADO SPRINGS,CO,"$416,894.33"
"GUSTAFSON, GEORGE C",Cardiology,COLORADO SPRINGS,CO,"$412,249.94"
"BURROUGHS, JOHN R",Ophthalmology,COLORADO SPRINGS,CO,"$410,940.03"
"MARKUS, MAURICE",Hematology/Oncology,COLORADO SPRINGS,CO,"$404,238.34"
"ZYSKOWSKI, LAWRENCE P",Rheumatology,COLORADO SPRINGS,CO,"$403,439.84"
"REDDY, SRIDHAR V",Obstetrics/Gynecology,COLORADO SPRINGS,CO,"$397,870.96"
"KULP, JEFFREY T",Internal Medicine,COLORADO SPRINGS,CO,"$393,555.90"
"CARLSON, DEAN W",Ophthalmology,COLORADO SPRINGS,CO,"$391,387.53"
"WEINSTEIN, DAVID M",Orthopedic Surgery,COLORADO SPRINGS,CO,"$381,195.65"
MED-TRANS CORPORATION,Ambulance Service Supplier,COLORADO SPRINGS,CO,"$374,406.06"
"SHERMAN, JOHN L",Diagnostic Radiology,COLORADO SPRINGS,CO,"$371,094.62"
"SMETANA, SCOTT M",Ophthalmology,COLORADO SPRINGS,CO,"$362,888.33"
"GERSTEL, DAVID L",Physical Therapist,COLORADO SPRINGS,CO,"$356,439.74"
"LEE, JOSEPH R",Cardiology,COLORADO SPRINGS,CO,"$353,935.82"
"SUNG, ROGER D",Orthopedic Surgery,COLORADO SPRINGS,CO,"$342,311.60"
"BARAD, JAMES P",Ophthalmology,COLORADO SPRINGS,CO,"$326,790.77"
"VU, RICHARD P",Internal Medicine,COLORADO SPRINGS,CO,"$320,196.41"
"LIPPERT, WILLIAM L",Interventional Pain Management,COLORADO SPRINGS,CO,"$317,096.00"
