Provider,Specialty,City,State / Country,Total Medicare payments
METWEST INC,Clinical Laboratory,DENVER,CO,"$14,601,141.77"
ROCKY MOUNTAIN TOX LLC,Clinical Laboratory,DENVER,CO,"$8,667,932.01"
SCHRYVER MEDICAL SALES AND MARKETING INC.,Clinical Laboratory,DENVER,CO,"$3,866,454.58"
DENVER HEALTH AND HOSPITAL AUTHORITY,Ambulance Service Supplier,DENVER,CO,"$3,007,021.50"
"APP-UNIPATH, LLC",Clinical Laboratory,DENVER,CO,"$1,872,510.41"
SCHRYVER MEDICAL SALES AND MARKETING INC.,Portable X-ray,DENVER,CO,"$1,536,548.05"
MADISON STREET SURGERY CENTER LLC,Ambulatory Surgical Center,DENVER,CO,"$1,347,150.86"
"BRAY, VANCE J",Rheumatology,DENVER,CO,"$1,237,910.04"
"GLASSMAN, KENNETH",Rheumatology,DENVER,CO,"$1,232,640.21"
BAKORP LLC,Portable X-ray,DENVER,CO,"$1,164,440.83"
"GROSS, ERIC T",Radiation Oncology,DENVER,CO,"$1,108,632.28"
"KIAN, KAVEH",Nephrology,DENVER,CO,"$1,108,099.57"
"SWINEHART, JAMES",Dermatology,DENVER,CO,"$1,093,006.16"
"HAGEDORN, CURTIS L",Otolaryngology,DENVER,CO,"$1,042,145.55"
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,DENVER,CO,"$1,003,217.46"
"HARVARD PARK SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,"$984,012.20"
"HANSON, ALAN S",Nephrology,DENVER,CO,"$965,050.16"
"CHARNEY, MICHAEL",Rheumatology,DENVER,CO,"$935,390.29"
"LIU, MIMI",Ophthalmology,DENVER,CO,"$887,633.38"
"MALYAK, MARK",Rheumatology,DENVER,CO,"$870,558.77"
"RIFKIN, ROBERT M",Hematology/Oncology,DENVER,CO,"$844,725.48"
"NOVAMED SURGERY CENTER OF DENVER, LLC",Ambulatory Surgical Center,DENVER,CO,"$840,866.89"
ROSE AMBULATORY SURGICAL CENTER LP,Ambulatory Surgical Center,DENVER,CO,"$770,829.90"
"HOLMES, DOUGLAS L",Ophthalmology,DENVER,CO,"$767,575.63"
"HOBBS, KATHRYN F",Rheumatology,DENVER,CO,"$751,413.25"
UROLOGY SURGERY CENTER OF COLORADO LLC,Ambulatory Surgical Center,DENVER,CO,"$745,549.32"
"JOONDEPH, BRIAN C",Ophthalmology,DENVER,CO,"$702,479.23"
"JOHNSON, KAREN J",Dermatology,DENVER,CO,"$688,364.28"
"WRIGHT, ROBERT C",Dermatology,DENVER,CO,"$668,349.02"
"HINSHAW, IOANA M",Hematology/Oncology,DENVER,CO,"$625,952.74"
"GENSLER, TIMOTHY",Rheumatology,DENVER,CO,"$617,817.11"
"LOWRY SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,"$602,571.47"
"PAUL, DEVCHAND",Medical Oncology,DENVER,CO,"$569,683.26"
"SEDLACEK, SCOT M",Hematology/Oncology,DENVER,CO,"$543,642.12"
"JOHNSON, DAVID W",Ophthalmology,DENVER,CO,"$517,139.93"
"KIMURA, ALAN E",Ophthalmology,DENVER,CO,"$497,042.19"
"KENNEY, THOMAS J",Hematology/Oncology,DENVER,CO,"$471,527.97"
"ZILIS, JOHN D",Ophthalmology,DENVER,CO,"$438,572.44"
"TEETER, MIRIAH M",Ophthalmology,DENVER,CO,"$395,344.73"
"AMIEL, HOWARD",Ophthalmology,DENVER,CO,"$380,040.17"
"COHN, ALLEN L",Hematology/Oncology,DENVER,CO,"$377,997.36"
"FEINER, ALAN S",Hematology/Oncology,DENVER,CO,"$374,967.65"
"MIKHAEEL-KAMEL, NADINE G",Hematology/Oncology,DENVER,CO,"$369,401.78"
"MCALEESE, KELLY A",Diagnostic Radiology,DENVER,CO,"$367,613.10"
"ALTMAN, JOHN D",Cardiology,DENVER,CO,"$361,452.89"
"KASSAN, STUART S",Rheumatology,DENVER,CO,"$359,279.14"
"CHRISTMAS, NANCY J",Ophthalmology,DENVER,CO,"$354,327.71"
"WANG, JASON",Ophthalmology,DENVER,CO,"$346,322.37"
"FESLER, MARK J",Hematology/Oncology,DENVER,CO,"$345,506.95"
"BASCHE, MICHELE L",Medical Oncology,DENVER,CO,"$341,040.71"
"PETTY, STEPHEN T",Ophthalmology,DENVER,CO,"$328,521.10"
"FELDMAN, ALEXANDER",Neurology,DENVER,CO,"$325,738.17"
"SCHRIER, DAVID M",Hematology/Oncology,DENVER,CO,"$323,074.38"
"MATOUS, JEFFREY V",Hematology/Oncology,DENVER,CO,"$323,059.12"
"KORMAN, DAVID S",Rheumatology,DENVER,CO,"$313,643.69"
"BELEN, GARY",Ophthalmology,DENVER,CO,"$312,475.51"
"ANTOLINI, CHRISTOPHER R",Rheumatology,DENVER,CO,"$311,702.16"
"PARKS, EDWARD 'TED' H",Orthopedic Surgery,DENVER,CO,"$301,201.00"
