Provider,Specialty,City,State / Country,Total Medicare payments
"SURGERY CENTER OF NORTHERN COLORADO, LLC",Ambulatory Surgical Center,FORT COLLINS,CO,"$2,480,089.89"
"HARMONY AMBULATORY SURGERY CENTER, LLC",Ambulatory Surgical Center,FORT COLLINS,CO,"$1,753,482.75"
"MILLER, TAMARA A",Neurology,FORT COLLINS,CO,"$1,170,160.58"
"KOROTKIN, ARTHUR",Ophthalmology,FORT COLLINS,CO,"$1,131,134.56"
E PLUS PET IMAGING XVIII LP,Independent Diagnostic Testing Facility,FORT COLLINS,CO,"$1,020,307.44"
"MOORE, JAMES C",Hematology/Oncology,FORT COLLINS,CO,"$1,003,298.49"
"KINDSFATER, KIRK A",Orthopedic Surgery,FORT COLLINS,CO,"$937,948.42"
"MEDGYESY, DIANA C",Hematology/Oncology,FORT COLLINS,CO,"$860,858.14"
"BAACK, BRAD R",Dermatology,FORT COLLINS,CO,"$846,603.59"
"THAKOR, MICHAEL S",Rheumatology,FORT COLLINS,CO,"$813,755.82"
HARMONY IMAGING CENTER LLC,Independent Diagnostic Testing Facility,FORT COLLINS,CO,"$773,791.54"
"KALAJIAN, ANDREW H",Dermatology,FORT COLLINS,CO,"$744,350.01"
"FOSTER, GARY J",Ophthalmology,FORT COLLINS,CO,"$686,177.31"
"MCFARLAND, ROSS W",Medical Oncology,FORT COLLINS,CO,"$636,703.98"
ORTHOPAEDIC & SPINE CENTER OF THE ROCKIES,Ambulatory Surgical Center,FORT COLLINS,CO,"$552,358.81"
"CREWS, KENT R",Ophthalmology,FORT COLLINS,CO,"$499,228.33"
"BASHFORD, KENT P",Ophthalmology,FORT COLLINS,CO,"$494,938.75"
"KORNFELD, BRUCE W",Dermatology,FORT COLLINS,CO,"$481,328.51"
"OLSEN, KARL E",Ophthalmology,FORT COLLINS,CO,"$464,984.44"
"JIMENEZ, BRIAN L",Occupational therapist,FORT COLLINS,CO,"$422,882.27"
"GIRARDI, GEORGE E",Interventional Pain Management,FORT COLLINS,CO,"$414,539.97"
"SMITH, RANDALL W",Ophthalmology,FORT COLLINS,CO,"$358,766.85"
"NORRIS, ANDREW M",Ophthalmology,FORT COLLINS,CO,"$322,423.37"
"GREY, SEAN G",Orthopedic Surgery,FORT COLLINS,CO,"$305,967.59"
"CLARK, CLIFFORD D",Orthopedic Surgery,FORT COLLINS,CO,"$305,918.14"
"BIGGS, WILLIAM D",Orthopedic Surgery,FORT COLLINS,CO,"$304,409.58"
"PETIT, JOSHUA H",Radiation Oncology,FORT COLLINS,CO,"$290,283.55"
"BENZ, ROBERT J",Orthopedic Surgery,FORT COLLINS,CO,"$286,442.69"
"STILES, STEVEN J",Clinical Psychologist,FORT COLLINS,CO,"$282,348.66"
"LYNCH, MICHAEL J",Internal Medicine,FORT COLLINS,CO,"$233,470.50"
"MATTOCH, INGERLISA W",Pathology,FORT COLLINS,CO,"$224,223.55"
"BENDER, JOHN L",Emergency Medicine,FORT COLLINS,CO,"$216,070.01"
"ALLEN, TIMOTHY J",Neurology,FORT COLLINS,CO,"$214,848.48"
"JOHNSON, CHARLES T",Cardiology,FORT COLLINS,CO,"$213,333.39"
"ASHMORE, ROGER C",Cardiology,FORT COLLINS,CO,"$213,218.18"
"MILLER, WILLIAM E",Cardiology,FORT COLLINS,CO,"$205,526.41"
"REISTAD, CHET E",Ophthalmology,FORT COLLINS,CO,"$199,112.25"
"YEMM, STEPHEN J",Physical Medicine and Rehabilitation,FORT COLLINS,CO,"$195,977.34"
"ROBINSON, MATTHEW J",Ophthalmology,FORT COLLINS,CO,"$187,309.49"
"EDDY, MICHAEL J",Urology,FORT COLLINS,CO,"$186,504.68"
"TURNER, DONN M",Neurosurgery,FORT COLLINS,CO,"$181,906.39"
"PURVIS, MATTHEW T",Cardiology,FORT COLLINS,CO,"$181,896.19"
"THOMAS, MICHAEL I",Podiatry,FORT COLLINS,CO,"$179,673.48"
"COESTER, HANS C",Neurosurgery,FORT COLLINS,CO,"$179,281.76"
FOOT SURGERY CENTER OF NORTHERN COLORADO,Ambulatory Surgical Center,FORT COLLINS,CO,"$175,604.87"
"DOING, ANTHONY H",Cardiology,FORT COLLINS,CO,"$174,991.48"
"OLDEMEYER, JOHN B",Cardiology,FORT COLLINS,CO,"$174,580.06"
"MCFERRAN, MARK",Orthopedic Surgery,FORT COLLINS,CO,"$173,139.43"
"KISER, ROBERT H",Cardiac Electrophysiology,FORT COLLINS,CO,"$170,917.74"
"DOW, TRISTAN J",Cardiology,FORT COLLINS,CO,"$169,986.63"
"KAUFMAN, STEVEN L",General Surgery,FORT COLLINS,CO,"$169,376.30"
"TRUMPER, ROCCI V",Orthopedic Surgery,FORT COLLINS,CO,"$169,020.88"
"RODRIGUEZ, JUAN B",Family Practice,FORT COLLINS,CO,"$165,442.16"
"BEARD, DOUGLAS W",Orthopedic Surgery,FORT COLLINS,CO,"$165,293.15"
"PHILLIPS, GEORGE H",Urology,FORT COLLINS,CO,"$165,154.68"
"STOLTZ, CHAD L",Cardiology,FORT COLLINS,CO,"$164,796.16"
"STROTE, JUSTIN A",Cardiology,FORT COLLINS,CO,"$160,989.24"
"AUSTIN, WENDY J",Cardiology,FORT COLLINS,CO,"$157,003.59"
"DOWNES, THOMAS R",Cardiology,FORT COLLINS,CO,"$155,904.89"
"CURIEL, MICHAEL P",Neurology,FORT COLLINS,CO,"$155,475.04"
"HERRERA, XAVIER",Internal Medicine,FORT COLLINS,CO,"$155,383.26"
"TREAT, STEPHEN A",Cardiology,FORT COLLINS,CO,"$154,466.25"
"LUM LUNG, CHRISTINE M",Internal Medicine,FORT COLLINS,CO,"$153,663.93"
"SCHULTE, ROBERT C",Podiatry,FORT COLLINS,CO,"$149,287.71"
"MERRITT, JASON L",Nephrology,FORT COLLINS,CO,"$146,460.12"
"COBB, DAVID",Infectious Disease,FORT COLLINS,CO,"$142,519.58"
"LEE, MICHAEL R",Urology,FORT COLLINS,CO,"$142,077.37"
"SOPER, TIMOTHY H",Urology,FORT COLLINS,CO,"$141,368.72"
"LUCKASEN, GARY J",Cardiology,FORT COLLINS,CO,"$140,833.36"
"GREEN, CHARLES P",Cardiology,FORT COLLINS,CO,"$140,327.87"
"STAFFORD, NEIL K",Internal Medicine,FORT COLLINS,CO,"$135,359.50"
"SISSON, CHARLES B",Interventional Pain Management,FORT COLLINS,CO,"$132,579.16"
