Provider,Specialty,City,State / Country,Total Medicare payments
"CARTER, DOUGLAS B",Ophthalmology,GREELEY,CO,"$1,517,592.37"
MED-TRANS CORPORATION,Ambulance Service Supplier,GREELEY,CO,"$734,450.22"
"LEVINE, JAMES W",Rheumatology,GREELEY,CO,"$697,406.56"
"THOMPSON, JOHN S",Rheumatology,GREELEY,CO,"$680,808.25"
"MURRAY, GARVIN C",Rheumatology,GREELEY,CO,"$651,099.48"
"MOUNTAIN VISTA ORTHOPEDIC SURGERY CENTER, LLC",Ambulatory Surgical Center,GREELEY,CO,"$611,820.32"
"CREWS, MICHAEL J",Ophthalmology,GREELEY,CO,"$483,052.80"
COUNTY OF WELD,Ambulance Service Supplier,GREELEY,CO,"$427,073.23"
"DHUPAR, SCOTT K",Orthopedic Surgery,GREELEY,CO,"$419,454.20"
"ABSTON, PHILLIP A",Interventional Pain Management,GREELEY,CO,"$413,174.44"
"EWING, DAVID L",Neurology,GREELEY,CO,"$373,568.27"
"JENG, SAMUEL M",Ophthalmology,GREELEY,CO,"$296,885.18"
"UYEMURA, MATTHEW J",Ophthalmology,GREELEY,CO,"$274,521.81"
"BLATTNER, MARY A",Dermatology,GREELEY,CO,"$270,896.79"
"DONG, LIN-WANG",Cardiology,GREELEY,CO,"$266,636.20"
"RADEMACHER, DONALD R",Internal Medicine,GREELEY,CO,"$221,523.16"
"CHAPEL, HAROLD L",Cardiology,GREELEY,CO,"$183,694.16"
"FULLER, BRIAN G",Radiation Oncology,GREELEY,CO,"$168,841.23"
"SHIHABI, AHMAD H",Cardiology,GREELEY,CO,"$167,674.24"
"BERNTSEN, MARK F",Internal Medicine,GREELEY,CO,"$167,378.92"
"LOECKE, STEVEN W",Internal Medicine,GREELEY,CO,"$158,069.89"
"BECKMANN, JAMES H",Cardiology,GREELEY,CO,"$157,112.23"
"FOE, ELAINE V",Ophthalmology,GREELEY,CO,"$138,836.18"
"WEEKS, JEFFREY B",Ophthalmology,GREELEY,CO,"$137,925.22"
"WOLACH, JAMES W",Urology,GREELEY,CO,"$137,143.52"
"HURST, PAUL G",Cardiology,GREELEY,CO,"$134,174.79"
"GOODMAN, GARY R",Urology,GREELEY,CO,"$132,198.98"
"MAZOWIECKI, MICHAEL C",Neurology,GREELEY,CO,"$131,219.00"
"EBENS, JOHN B",Internal Medicine,GREELEY,CO,"$124,734.24"
"POOLE, ALLISON M",Physician Assistant,GREELEY,CO,"$124,145.95"
"HAMNER, HARRY W",Pathology,GREELEY,CO,"$120,095.15"
"GRYBOSKI, CYNTHIA L",Cardiology,GREELEY,CO,"$119,413.33"
"ZENK, DANIEL R",Internal Medicine,GREELEY,CO,"$118,977.68"
"RATH, GARY A",Cardiology,GREELEY,CO,"$118,015.57"
"DOWGIN, THOMAS A",Gastroenterology,GREELEY,CO,"$117,799.66"
"JANATA, KELLI R",Pulmonary Disease,GREELEY,CO,"$115,558.39"
"PFAHNL, ARNOLD E",Cardiology,GREELEY,CO,"$109,426.41"
"CASH, ROBERT L",Internal Medicine,GREELEY,CO,"$107,936.48"
"JANATA, ROBERT J",Pulmonary Disease,GREELEY,CO,"$102,238.12"
"CRYLEN, CURTIS E",Urology,GREELEY,CO,"$102,195.36"
"EMERSON, BARBARA L",Internal Medicine,GREELEY,CO,"$101,325.89"
"KREIDER, DAN F",Diagnostic Radiology,GREELEY,CO,"$97,836.06"
"SANDERFORD, KELLY R",Orthopedic Surgery,GREELEY,CO,"$97,440.26"
