Provider	Specialty	City	State / Country	Total Medicare payments
TILTON, ELISHA P	Ophthalmology	LONGMONT	CO	$2,119,899.60
BENEDICT, WILLIAM L	Ophthalmology	LONGMONT	CO	$2,091,526.69
LONGMONT SURGERY CENTER, LLC	Ambulatory Surgical Center	LONGMONT	CO	$916,190.98
PERKINS, JEFFREY D	Rheumatology	LONGMONT	CO	$553,558.55
STATHIS, JOHN	Cardiology	LONGMONT	CO	$540,555.35
MATHWICH, BRIAN N	Family Practice	LONGMONT	CO	$494,376.43
FISHER, ROBERT E	Hematology/Oncology	LONGMONT	CO	$487,304.94
BACKUP, LINDA	Cardiology	LONGMONT	CO	$463,782.52
BARNETT, JOHN M	Hematology/Oncology	LONGMONT	CO	$430,364.21
JOHNSON, MICHAEL J	Hematology/Oncology	LONGMONT	CO	$398,667.68
ROTHSTEIN, MICAH W	Ophthalmology	LONGMONT	CO	$352,027.61
MCCARTY, DAVID	Internal Medicine	LONGMONT	CO	$337,641.53
VANHOOK, CHARLES J	Pulmonary Disease	LONGMONT	CO	$317,911.90
TANGEL, DOUGLAS J	Pulmonary Disease	LONGMONT	CO	$303,430.24
EHRLICH, MATTHEW I	Ophthalmology	LONGMONT	CO	$282,111.73
KATUNA, BRUCE A	Neurology	LONGMONT	CO	$250,283.78
TWIN PEAKS MEDICAL IMAGING LLC	Independent Diagnostic Testing Facility	LONGMONT	CO	$227,616.81
KARBASSI, MOHAMMAD	Ophthalmology	LONGMONT	CO	$218,356.33
HUGHES, BRIAN R	Family Practice	LONGMONT	CO	$206,237.20
GOULD, JACQUELYNN M	Family Practice	LONGMONT	CO	$198,207.80
CLARK, SCOTT	Dermatology	LONGMONT	CO	$196,458.73
MANION, SEAN P	Urology	LONGMONT	CO	$192,035.41
MEYERS, JOEL S	Ophthalmology	LONGMONT	CO	$190,966.85
ANDREWS, PETER R	Ophthalmology	LONGMONT	CO	$169,280.12
JENSEN, JONATHAN E	Gastroenterology	LONGMONT	CO	$163,464.80
GROSSMAN, BRUCE M	Gastroenterology	LONGMONT	CO	$160,605.98
BRITT, DAVID	Family Practice	LONGMONT	CO	$156,159.35
ENDOSCOPY CENTER OF THE ROCKIES LLC	Ambulatory Surgical Center	LONGMONT	CO	$155,983.56
IQBAL, NUZHAT	Gastroenterology	LONGMONT	CO	$146,525.98
TRAN, NGUYET-ANH T	Rheumatology	LONGMONT	CO	$139,619.88
COONEY, WILLIAM P	Orthopedic Surgery	LONGMONT	CO	$138,905.48
WOOD, PETER	Orthopedic Surgery	LONGMONT	CO	$137,909.21
CARR, ALFRED N	Otolaryngology	LONGMONT	CO	$128,678.93
MOUNTAIN VIEW FIRE PROTECTION DISTRICT	Ambulance Service Supplier	LONGMONT	CO	$127,924.30
COFF, PHILIP	Gastroenterology	LONGMONT	CO	$126,485.09
PODLECKI, DAVID A	Endocrinology	LONGMONT	CO	$125,187.66
O'NEIL, CATHY	Family Practice	LONGMONT	CO	$124,646.60
