Provider	Specialty	City	State / Country	Total Medicare payments
LANSING, MARY B	Ophthalmology	LOUISVILLE	CO	$2,029,074.78
EICKMANN, THOMAS H	Orthopedic Surgery	LOUISVILLE	CO	$193,934.86
FLATIRONS SURGERY CENTER, LLC	Ambulatory Surgical Center	LOUISVILLE	CO	$124,078.26
SHEN, MICHAEL S	Orthopedic Surgery	LOUISVILLE	CO	$93,105.14
LOUISVILLE FIRE PROTECTION DISTRICT	Ambulance Service Supplier	LOUISVILLE	CO	$71,961.25
STEWART, RICHARD	Ophthalmology	LOUISVILLE	CO	$71,917.22
HO, STEPHEN C	Dermatology	LOUISVILLE	CO	$71,205.33
MONDROW, ERIK M	Internal Medicine	LOUISVILLE	CO	$67,243.33
CASTRO, BRYAN A	Orthopedic Surgery	LOUISVILLE	CO	$64,829.66
KELL, HALE M	Optometry	LOUISVILLE	CO	$58,413.58
TALAMANTES, LISA H	Family Practice	LOUISVILLE	CO	$58,291.87
BYRT, JULIE A	Physical Therapist	LOUISVILLE	CO	$55,941.50
GRAUER, J D	Orthopedic Surgery	LOUISVILLE	CO	$53,094.18
WAGNER, WILLIAM J	Neurology	LOUISVILLE	CO	$51,718.12
NUHFER, DAVID M	Family Practice	LOUISVILLE	CO	$51,174.71
WERTZ, MICHAEL P	Orthopedic Surgery	LOUISVILLE	CO	$48,224.30
FOX, CHRISTOPHER R	Endocrinology	LOUISVILLE	CO	$47,643.60
HERRMANN, GLENN E	Plastic and Reconstructive Surgery	LOUISVILLE	CO	$44,713.84
MAZZOLA, TIMOTHY J	Family Practice	LOUISVILLE	CO	$40,332.10
MILLER, JOHN M	Podiatry	LOUISVILLE	CO	$38,652.55
REID, JAMES	Orthopedic Surgery	LOUISVILLE	CO	$38,045.89
PINTO, RANDOLPH	Family Practice	LOUISVILLE	CO	$35,973.79
GITCHELL, HEATHER L	Optometry	LOUISVILLE	CO	$32,306.65
PATTERSON, MARCIA L	Nurse Practitioner	LOUISVILLE	CO	$32,218.59
ANDERSON, BRAD D	Family Practice	LOUISVILLE	CO	$31,197.50
KAMATH, VINAYA K	Endocrinology	LOUISVILLE	CO	$30,800.02
LISCHWE, THOMAS	Family Practice	LOUISVILLE	CO	$30,418.43
ARBOUR, STEVEN L	Physician Assistant	LOUISVILLE	CO	$28,816.48
BEEKS, CINDY J	Optometry	LOUISVILLE	CO	$28,578.78
OPPEGAARD, JAIME L	Physical Therapist	LOUISVILLE	CO	$27,529.14
