Provider,Specialty,City,State / Country,Total Medicare payments
AMERIDRUG LABORATORIES INC,Clinical Laboratory,LOVELAND,CO,"$2,815,225.35"
HORIZON LABORATORY LLC,Clinical Laboratory,LOVELAND,CO,"$1,679,991.00"
"LILLIS, PATRICK J",Dermatology,LOVELAND,CO,"$965,416.12"
THOMPSON VALLEY EMERGENCY MEDICAL SERVICES INC,Ambulance Service Supplier,LOVELAND,CO,"$744,075.38"
SUMMIT PATHOLOGY PLLP,Clinical Laboratory,LOVELAND,CO,"$613,638.56"
"KIRK, JOHN D",Ophthalmology,LOVELAND,CO,"$563,579.70"
EAGLEMED LLC,Ambulance Service Supplier,LOVELAND,CO,"$482,776.39"
"BRUCE, AARON M",Dermatology,LOVELAND,CO,"$397,775.76"
"LOVELAND ENDOSCOPY CENTER, LLC",Ambulatory Surgical Center,LOVELAND,CO,"$374,514.63"
"LOVELAND SURGICAL ENTERPRISES, LLC",Ambulatory Surgical Center,LOVELAND,CO,"$372,545.87"
"STRONG, LEWIS R",Gastroenterology,LOVELAND,CO,"$297,291.96"
"LANGER, DANIEL A",Gastroenterology,LOVELAND,CO,"$278,556.09"
"CECIL, JENNIFER D",Ophthalmology,LOVELAND,CO,"$248,262.13"
"KOST, DEBBIE",Physical Therapist,LOVELAND,CO,"$230,149.08"
"HOOVER, AARON Z",Dermatology,LOVELAND,CO,"$217,064.40"
"SEARS, STEPHEN R",Gastroenterology,LOVELAND,CO,"$197,867.17"
"CEILLEY, ELIZABETH A",Radiation Oncology,LOVELAND,CO,"$185,875.20"
"NORTH, CRYSTAL M",Gastroenterology,LOVELAND,CO,"$181,007.86"
LOVELAND SURGERY CENTER LLC,Ambulatory Surgical Center,LOVELAND,CO,"$180,174.52"
"SLOAN, LISA L",Occupational therapist,LOVELAND,CO,"$175,338.34"
"DONNER, EDWARD J",Orthopedic Surgery,LOVELAND,CO,"$157,118.18"
"WITT, PETER C",Gastroenterology,LOVELAND,CO,"$149,387.79"
"SMITH, PETER C",Internal Medicine,LOVELAND,CO,"$143,990.92"
"BEE, CHRISTOPHER S",Pathology,LOVELAND,CO,"$136,719.93"
"MILCHAK, RICHARD",Critical Care (Intensivists),LOVELAND,CO,"$114,214.52"
"LIBBY, ARLENE L",Pathology,LOVELAND,CO,"$113,390.09"
"WILDEMAN, CHRISTINE L",Geriatric Medicine,LOVELAND,CO,"$111,759.39"
"PEARSON, ANTONY",Family Practice,LOVELAND,CO,"$110,615.89"
"HIMES, TERRY M",Neurology,LOVELAND,CO,"$110,528.63"
"TELLO, ROBERT J",Internal Medicine,LOVELAND,CO,"$104,959.09"
"KEEFE, KEVIN W",Internal Medicine,LOVELAND,CO,"$99,623.32"
"PETERS, BRENT T",Critical Care (Intensivists),LOVELAND,CO,"$99,009.43"
"JACOB, PREMA M",Family Practice,LOVELAND,CO,"$99,000.67"
"NAGY, MICHAEL S",Psychiatry,LOVELAND,CO,"$97,484.26"
"GUADAGNOLI, MARK D",Cardiac Surgery,LOVELAND,CO,"$96,446.86"
"FLAKE, ZACHARY A",Family Practice,LOVELAND,CO,"$96,239.09"
"NEUHAUSER, THOMAS S",Pathology,LOVELAND,CO,"$95,722.79"
"CHEN, EDWARD",Internal Medicine,LOVELAND,CO,"$95,086.26"
"PARLIMENT, JOEL W",Internal Medicine,LOVELAND,CO,"$94,987.76"
"STEVENS, ERIC",Critical Care (Intensivists),LOVELAND,CO,"$93,777.29"
"DOUTHIT, MARK B",Cardiac Surgery,LOVELAND,CO,"$92,185.93"
"CHRISTIAN, JAMES D",Pathology,LOVELAND,CO,"$88,765.13"
"KING, KERRY",Gastroenterology,LOVELAND,CO,"$86,670.32"
"KUKAFKA, DAVID",Critical Care (Intensivists),LOVELAND,CO,"$85,982.07"
"WEBSTER, DOUGLAS S",Internal Medicine,LOVELAND,CO,"$85,456.29"
"LOPEZ, WILLIAM",Internal Medicine,LOVELAND,CO,"$77,126.06"
"SCHMITT, JOSEPH W",Neurology,LOVELAND,CO,"$75,891.73"
"GILL, SARVJIT S",Otolaryngology,LOVELAND,CO,"$72,726.48"
"CUERVO, JULIA",Internal Medicine,LOVELAND,CO,"$71,598.88"
"KULM, JEROME",Physical Therapist,LOVELAND,CO,"$71,207.26"
ROCKY MOUNTAIN RADIOLOGY CENTER LLC,Independent Diagnostic Testing Facility,LOVELAND,CO,"$70,685.39"
"QUILLEN, JAMES E",Cardiology,LOVELAND,CO,"$70,581.88"
"ANDERSON, THOMAS M",General Practice,LOVELAND,CO,"$69,209.28"
"HOLLOS, LORI A",Family Practice,LOVELAND,CO,"$69,017.03"
"STANTON, MICHAEL W",Cardiac Surgery,LOVELAND,CO,"$68,364.43"
"NORMAN, EDWARD A",Internal Medicine,LOVELAND,CO,"$67,803.63"
"STROH, ANN L",Medical Oncology,LOVELAND,CO,"$67,048.17"
"BAIR, SARAH M",Dermatology,LOVELAND,CO,"$66,757.10"
"MATTHEW, THOMAS L",Cardiac Surgery,LOVELAND,CO,"$66,513.09"
"SNODGRASS, DAVID S",Family Practice,LOVELAND,CO,"$65,974.70"
"BENECK, JOHN C",Physical Therapist,LOVELAND,CO,"$62,906.61"
"SUGAR, MELISSA D",Internal Medicine,LOVELAND,CO,"$60,176.03"
"JOHAR, JASJOT S",Emergency Medicine,LOVELAND,CO,"$59,240.65"
"BANDI, SRINIVAS",Neurology,LOVELAND,CO,"$57,047.03"
"HAILEY, MARK A",Family Practice,LOVELAND,CO,"$56,963.46"
"POLKA, RHETT E",Physical Therapist,LOVELAND,CO,"$56,169.28"
"HIPP, NAOMI J",Internal Medicine,LOVELAND,CO,"$55,575.72"
"SAMMOND, WILLIAM H",Cardiology,LOVELAND,CO,"$54,286.39"
"GILMORENO DE MORA, RODRIGO",Physical Therapist,LOVELAND,CO,"$53,907.21"
"HOFFMANN, JULIE A",Family Practice,LOVELAND,CO,"$53,817.49"
"HUGHES, GREGORY B",Endocrinology,LOVELAND,CO,"$53,801.42"
"JONES, KEVIN W",Occupational therapist,LOVELAND,CO,"$53,623.42"
"PIZZI, CATHERINE C",Pathology,LOVELAND,CO,"$53,086.46"
"DONAHUE, KIMBERLY A",Physical Therapist,LOVELAND,CO,"$53,075.63"
"COPPLE, SHEILA A",Internal Medicine,LOVELAND,CO,"$52,693.89"
"FRICKMAN, CARL E",Family Practice,LOVELAND,CO,"$49,661.22"
"ARGUELLO, DANIEL",Emergency Medicine,LOVELAND,CO,"$48,963.67"
"SCHULTZ, PETER D",Podiatry,LOVELAND,CO,"$46,923.12"
"SHELANSKI, SAMUEL A",Hematology,LOVELAND,CO,"$44,892.73"
"MINOR, NEEKA A",Physical Therapist,LOVELAND,CO,"$44,279.44"
"GOLD, FAWN",Speech Language Pathologist,LOVELAND,CO,"$43,614.70"
"LYNCH, KATHRYN L",Gastroenterology,LOVELAND,CO,"$43,484.68"
"ANDERSON, BRIDGET L",Physical Therapist,LOVELAND,CO,"$43,155.95"
"FRIEDMAN, SHERI J",Neurology,LOVELAND,CO,"$42,065.98"
"WIDDEL, LARS",Neurosurgery,LOVELAND,CO,"$41,970.02"
"MEREDITH, LAWRENCE A",Neurology,LOVELAND,CO,"$41,648.21"
"BUSSE, ROBERT W",Physical Therapist,LOVELAND,CO,"$41,554.63"
"CULVER, WILLIAM",Allergy/Immunology,LOVELAND,CO,"$39,254.13"
"SHERLOCK, PATRICK F",Chiropractic,LOVELAND,CO,"$38,162.13"
"HARTWICK, JON",Physical Therapist,LOVELAND,CO,"$38,059.86"
"CABRERA, ANTHONY J",Family Practice,LOVELAND,CO,"$37,401.54"
"SMIDDY, JARED",Physical Therapist,LOVELAND,CO,"$35,823.61"
"CRANE, JOHN T",Obstetrics/Gynecology,LOVELAND,CO,"$34,907.07"
"YOUNG, ERIC E",Orthopedic Surgery,LOVELAND,CO,"$34,679.26"
"REENTS, WILLIAM J",Family Practice,LOVELAND,CO,"$34,131.66"
"HAND, TRAVIS",Physical Therapist,LOVELAND,CO,"$33,791.97"
"TARTAGLIA, LOUIS",Orthopedic Surgery,LOVELAND,CO,"$33,141.24"
"O'HARE, HALEY D",Speech Language Pathologist,LOVELAND,CO,"$33,014.96"
"MCCABE LENTZ, JENNIFER L",Family Practice,LOVELAND,CO,"$32,974.77"
"BLOMQUIST, THOMAS M",General Surgery,LOVELAND,CO,"$32,015.13"
"FELIX, KEVIN A",Family Practice,LOVELAND,CO,"$30,972.07"
"DAVIES, ANN T",Family Practice,LOVELAND,CO,"$29,732.48"
"AGRAMA, SUSAN D",Internal Medicine,LOVELAND,CO,"$29,242.57"
"COLVIN, JOHN W",Optometry,LOVELAND,CO,"$27,947.91"
"ZINK, LENNEA",Physical Therapist,LOVELAND,CO,"$27,570.61"
SAFEWAY INC,Mass Immunization Roster Biller,LOVELAND,CO,"$25,551.15"
"DUPPER, ROBERT",Emergency Medicine,LOVELAND,CO,"$25,425.34"
"TALIAFERRO, JOHN P",Family Practice,LOVELAND,CO,"$25,094.47"
"BOEDING, MARVIN A",Clinical Psychologist,LOVELAND,CO,"$24,650.79"
"DUBIN, JEREMY A",Family Practice,LOVELAND,CO,"$24,253.38"
"ROSS, ANDREW L",Physical Therapist,LOVELAND,CO,"$23,978.27"
"RULE, INGRID K",Family Practice,LOVELAND,CO,"$23,641.56"
"ALLEN, THOMAS J",Family Practice,LOVELAND,CO,"$22,515.65"
"HOLM JOHANSEN, JON EIRIK",Chiropractic,LOVELAND,CO,"$22,426.00"
"OTT, BRADLEY J",Physical Therapist,LOVELAND,CO,"$21,766.83"
