Provider,Specialty,City,State / Country,Total Medicare payments
COLORADO PATHOLOGY CONSULTANTS PC,Clinical Laboratory,ARVADA,CO,824174.81
"ESFAHANI, REZA S",General Practice,ARVADA,CO,252393.31
"DUVALL, JOHN A",Ophthalmology,ARVADA,CO,181036.41
"YALAVARTHY, RAJESH",Nephrology,ARVADA,CO,155601.03
"SINGH, HARMEET",Nephrology,ARVADA,CO,121818.62
"CHANG, ANNIE",Ophthalmology,ARVADA,CO,120488.65
"GILLUM, DAVID M",Nephrology,ARVADA,CO,109210.66
"GORMAN, DARRELL E",Internal Medicine,ARVADA,CO,103173.26
"WYRICK, CLAUDIA B",Family Practice,ARVADA,CO,100428.50
"VAN DIJK, CLAUDIA M",Nephrology,ARVADA,CO,89565.11
"SCHAFFER, DANIEL A",Pathology,ARVADA,CO,87732.29
"CORRIGAN, GERALDINE",Nephrology,ARVADA,CO,87657.30
"BEZECNY, JOSHUA A",Physician Assistant,ARVADA,CO,77102.92
"GESSNER, WIESLAW P",Interventional Pain Management,ARVADA,CO,75131.96
"POCSINE, KATALIN J",Neurology,ARVADA,CO,74492.33
"IVES, MARTHA M",Internal Medicine,ARVADA,CO,72427.23
"SCALES, JAMES S",Podiatry,ARVADA,CO,71499.67
"OBRIAN, PAUL D",Physical Therapist,ARVADA,CO,65762.68
"HOPFENBACK, JAMES A",Pathology,ARVADA,CO,65457.35
"WAY, DEBORAH E",Family Practice,ARVADA,CO,59981.20
"TAYLOR, MARY",Physical Therapist,ARVADA,CO,58250.53
"TARKANIAN, CYNTHIA N",Ophthalmology,ARVADA,CO,49339.18
"KUBISTA, JENNIFER R",Family Practice,ARVADA,CO,46735.61
"VANKOOTEN, DAVID W",Otolaryngology,ARVADA,CO,43456.99
"CORKILL, MARY E",Pathology,ARVADA,CO,42997.18
"SIMON, ROBERT B",Family Practice,ARVADA,CO,42683.71
"PUSHCHAK, MICHAEL J",Pathology,ARVADA,CO,40972.07
"GOLDBERG, ELLICE K",Family Practice,ARVADA,CO,38270.81
"WEST, CYDNEY N",Family Practice,ARVADA,CO,36673.52
"HARTEMINK, DAVID A",Otolaryngology,ARVADA,CO,34133.51
"OLSHOCK, RICHARD C",Pathology,ARVADA,CO,33086.27
"VISLOSKY, DAVID A",Physical Therapist,ARVADA,CO,31147.13
"BARRE, LISHA C",Physical Medicine and Rehabilitation,ARVADA,CO,29761.57
"MCFARLAND, BRUCE D",Family Practice,ARVADA,CO,29353.56
"PRIME PATHOLOGY LABORATORIES, LLC",Clinical Laboratory,ARVADA,CO,29157.11
"BASHFORD, STEPHEN P",Optometry,ARVADA,CO,27195.77
"DO, DUNG T",Physical Therapist,ARVADA,CO,24402.75
"HARBERSON, DAVID A",Physical Therapist,ARVADA,CO,24046.45
"DEVEREUX, JANESSA A",Physical Therapist,ARVADA,CO,23538.82
"DO, SANDRA A",Physical Therapist,ARVADA,CO,23488.53
"GREEN, JUSTIN W",Chiropractic,ARVADA,CO,20215.33
"IRELAND, CYNTHIA J",Internal Medicine,ARVADA,CO,19528.49
"CROSS, JOHN C",Optometry,ARVADA,CO,18297.34
"BROWN, SALLY",Occupational therapist,ARVADA,CO,16264.46
"KAPLAN, NAOMI",Licensed Clinical Social Worker,ARVADA,CO,15673.04
"JEFFERSON, PHYLLIS E",Nurse Practitioner,ARVADA,CO,15486.76
"COX, WILLIAM F",Pathology,ARVADA,CO,14012.31
"THOMPSON, JAMES D",Emergency Medicine,ARVADA,CO,13628.17
"TEMPLE, STEVEN J",Pathology,ARVADA,CO,13492.62
"GUNDERSON, GLEN A",Optometry,ARVADA,CO,12496.91
"SPRESSER, KEN D",Chiropractic,ARVADA,CO,12461.84
"LEWIS, AARON P",Physician Assistant,ARVADA,CO,12435.56
"MOHATT, MEGAN",Physician Assistant,ARVADA,CO,12192.72
"RAMATOWSKI, CAROL J",Family Practice,ARVADA,CO,12095.50
"KINZLER, DALE",Otolaryngology,ARVADA,CO,12025.29
"BECKER, ANDREA",Physical Therapist,ARVADA,CO,10595.11
"ROOPE, RICKY A",Chiropractic,ARVADA,CO,10572.64
"LONG, LORI",Family Practice,ARVADA,CO,10168.47
"STONE, DIANNE C",Gynecological/Oncology,ARVADA,CO,9557.65
