Provider,Specialty,City,State / Country,Total Medicare payments
"RURAL/METRO OF CENTRAL COLORADO, INC.",Ambulance Service Supplier,AURORA,CO,4346311.67
UNIVERSITY PHYSICIANS INCORPORATED,Clinical Laboratory,AURORA,CO,2036958.48
MITOMICS (USA) INC.,Clinical Laboratory,AURORA,CO,986364.71
"SWANSON, MARVIN L",Obstetrics/Gynecology,AURORA,CO,845150.64
"CAPITAL CITY AMBULANCE, LLC",Ambulance Service Supplier,AURORA,CO,735453.75
"DANIEL, WILLIAM E",Radiation Oncology,AURORA,CO,726859.84
"ELDRIDGE, JOAN E",Cardiology,AURORA,CO,696290.50
"BURKE, JOHN M",Hematology/Oncology,AURORA,CO,691034.58
"CARTER, DENNIS L",Radiation Oncology,AURORA,CO,671826.64
"CHAPMAN, JAMES T",Dermatology,AURORA,CO,537951.15
"DIAB, SAMI",Hematology/Oncology,AURORA,CO,510288.71
"NALLAPAREDDY, SUJATHA",Hematology/Oncology,AURORA,CO,487619.49
"LUCAS, LOUIS W",Diagnostic Radiology,AURORA,CO,481069.36
"OLIVER, SCOTT",Ophthalmology,AURORA,CO,459292.55
"WAINTRUB, MAURICIO L",Internal Medicine,AURORA,CO,449456.12
YEN LABORATORIES INC.,Slide Preparation Facility,AURORA,CO,435850.92
"AMSBAUGH, SEAN T",Dermatology,AURORA,CO,407362.04
"NEID, JAMES M",Infectious Disease,AURORA,CO,404590.08
"CHER, LLC",Independent Diagnostic Testing Facility,AURORA,CO,396196.94
"PATEL, CHIRAG",Ophthalmology,AURORA,CO,344973.57
"JOHNSON, DARLENE S",Dermatology,AURORA,CO,337837.10
"MELLETTE, JULIAN R",Dermatology,AURORA,CO,332572.43
"KRUTSCH, JASON",Anesthesiology,AURORA,CO,321813.27
"PRAGER, NELSON A",Cardiology,AURORA,CO,319650.98
"SHIELDS, ROBERT L",Ophthalmology,AURORA,CO,317506.23
"ONUOHA, FRANCISCA I",Internal Medicine,AURORA,CO,305747.23
"ALYASEEN, SAMER",Infectious Disease,AURORA,CO,303100.44
"FARAGHER, DAVID C",Hematology/Oncology,AURORA,CO,299058.13
"MAINO, KIMBERLY",Dermatology,AURORA,CO,297027.76
"KESSELMAN, STEPHEN E",Ophthalmology,AURORA,CO,296188.82
"GOLITZ, LOREN",Dermatology,AURORA,CO,293008.85
"JIWANI, SHABANA",Internal Medicine,AURORA,CO,270429.31
"AYYAR, SANDHYA C",Infectious Disease,AURORA,CO,269392.60
"MOLK, BARRY L",Cardiology,AURORA,CO,264953.38
"TARAVELLA, MICHAEL",Ophthalmology,AURORA,CO,260772.73
"FUENZALIDA, CHARLES E",Cardiology,AURORA,CO,259680.17
"PEACOCK, JOEL H",Geriatric Medicine,AURORA,CO,252979.33
"MIZUNO, PHILIP B",Nurse Practitioner,AURORA,CO,243909.21
"NIRANJAN, BOOKANAKERE",Geriatric Medicine,AURORA,CO,235477.29
"SPIEGEL, DAVID",Nephrology,AURORA,CO,235027.28
"CROWLEY, STEPHEN T",Cardiology,AURORA,CO,219939.68
"PANTCHEVA, MINA",Ophthalmology,AURORA,CO,216015.39
"KATTA, SUSHANTHI",Internal Medicine,AURORA,CO,211955.37
"KANG, CHANG W",Internal Medicine,AURORA,CO,210829.01
"ABUABA, ROMANO N",Internal Medicine,AURORA,CO,210035.59
"DAVIDSON, RICHARD",Ophthalmology,AURORA,CO,209926.60
"DIBELLA, NICHOLAS J",Hematology/Oncology,AURORA,CO,209225.18
"GRUEN, MELISSA B",Family Practice,AURORA,CO,205383.15
"ORD, JOHN M",Cardiology,AURORA,CO,201616.68
"BHATTARAI, NIMESH",Internal Medicine,AURORA,CO,200974.00
"HIRSCH, CECILIA M",Cardiology,AURORA,CO,196425.02
"MILLER, FREDERICK C",Cardiology,AURORA,CO,193365.12
"PREVEDEL, JOHN A",Cardiology,AURORA,CO,190778.15
"FINEMAN, BRUCE G",Internal Medicine,AURORA,CO,190518.77
"WATSON, CLAY C",Infectious Disease,AURORA,CO,190028.78
"WEAVER, MICHELLE L",Nurse Practitioner,AURORA,CO,187756.71
"COHEN, ANDREW I",Cardiology,AURORA,CO,186585.83
"GREENBERG, JERRY H",Internal Medicine,AURORA,CO,185400.16
"MOON, JAE JOON",Physical Therapist,AURORA,CO,183837.38
"KROLL, JING L",Infectious Disease,AURORA,CO,183085.34
"NAWAZ, DILSHER M",Cardiology,AURORA,CO,175531.19
"NEILL, TRAVIS J",Physician Assistant,AURORA,CO,170990.52
"PAPADEAS, GREGORY G",Dermatology,AURORA,CO,170476.78
"STOLCIS, KATHERINE M",Physician Assistant,AURORA,CO,169927.43
"PAUCKOVA, JARMILA",Internal Medicine,AURORA,CO,168300.81
"PROPP, JOHN G",Cardiac Surgery,AURORA,CO,167826.75
"VIJAY, NAMPALLI K",Cardiology,AURORA,CO,166920.97
"JANTZ, RICHARD D",Cardiology,AURORA,CO,166849.13
"WAHL, MICHAEL R",Cardiology,AURORA,CO,164678.78
