Provider,Specialty,City,State / Country,Total Medicare payments
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,BOULDER,CO,"$1,083,324.46"
"UTLAUT, NILES F",Ophthalmology,BOULDER,CO,"$830,709.24"
"ANTELL, ANDREW G",Radiation Oncology,BOULDER,CO,"$802,622.76"
"HOLLAND, MATTHEW",Cardiology,BOULDER,CO,"$618,819.60"
"FLEAGLE, JOHN T",Medical Oncology,BOULDER,CO,"$429,488.13"
"STEINBAUGH, JOHN R",Dermatology,BOULDER,CO,"$406,143.43"
"ANDORSKY, DAVID J",Hematology/Oncology,BOULDER,CO,"$403,761.63"
"BUSBY, LESLIE T",Medical Oncology,BOULDER,CO,"$352,485.08"
"DOUCET, JAMIE J",Cardiology,BOULDER,CO,"$342,291.09"
"MORAN, PATRICK L",Hematology/Oncology,BOULDER,CO,"$337,879.78"
"KELLER, DONALD J",Ophthalmology,BOULDER,CO,"$279,938.24"
"ALLEN, SHAWN B",Dermatology,BOULDER,CO,"$270,930.75"
ENDOSCOPY CENTER OF THE ROCKIES LLC,Ambulatory Surgical Center,BOULDER,CO,"$261,261.89"
"GIESEN, ANNE",Geriatric Medicine,BOULDER,CO,"$238,711.74"
"WEISMAN, STUART",Rheumatology,BOULDER,CO,"$205,253.77"
"BOULDER COMMUNITY MUSCULOSKELETAL SURGERY CENTER, LLC",Ambulatory Surgical Center,BOULDER,CO,"$200,703.99"
"PATEL, MEERA",Radiation Oncology,BOULDER,CO,"$196,592.56"
"ANDERSON, CHARLES C",Urology,BOULDER,CO,"$192,765.25"
"ROBERTS, WILLIAM A",Ophthalmology,BOULDER,CO,"$190,284.74"
"GRONSETH, CLIFF",Physical Medicine and Rehabilitation,BOULDER,CO,"$187,650.36"
"SITARIK, MARK A",Hematology/Oncology,BOULDER,CO,"$186,999.28"
"TRIPP, WARREN I",Ophthalmology,BOULDER,CO,"$176,843.85"
"LEE, MICHELE Y",Geriatric Medicine,BOULDER,CO,"$166,616.61"
"DUGHI, COCO",Internal Medicine,BOULDER,CO,"$163,094.24"
"JONES, CHARLES G",General Surgery,BOULDER,CO,"$159,689.39"
"CLARK, JAMES E",Urology,BOULDER,CO,"$154,379.00"
"CHAPMAN, JAMES B",Cardiology,BOULDER,CO,"$152,348.22"
"RECTOR, JAMES B",Orthopedic Surgery,BOULDER,CO,"$149,711.52"
"MASON, ALEXANDER M",Neurosurgery,BOULDER,CO,"$149,119.85"
"EDELMAN, JULIE V",Physical Therapist,BOULDER,CO,"$142,937.03"
"BLANCHET, WILLIAM L",Internal Medicine,BOULDER,CO,"$131,834.55"
"WEINER, STEVEN",Urology,BOULDER,CO,"$128,043.66"
"NICHOLS, BRIAN",Ophthalmology,BOULDER,CO,"$125,693.83"
"TOBEY, JOHN",Physical Medicine and Rehabilitation,BOULDER,CO,"$125,391.79"
"KALLGREN, DIANE L",Dermatology,BOULDER,CO,"$124,763.28"
"MEYER, JOHN E",Pathology,BOULDER,CO,"$120,808.83"
"SCHUTZ, JOHN A",Cardiology,BOULDER,CO,"$119,656.54"
"WHITE, DANIEL S",Cardiology,BOULDER,CO,"$117,967.08"
"WARE, MOLLY G",Cardiology,BOULDER,CO,"$116,901.05"
"LUTT, JOSEPH R",Rheumatology,BOULDER,CO,"$116,775.19"
"WARREN, JAMES D",Otolaryngology,BOULDER,CO,"$114,133.32"
"BJERKE, RANDAL D",Pulmonary Disease,BOULDER,CO,"$113,053.73"
"DOUGHERTY, MARILYN A",Ophthalmology,BOULDER,CO,"$111,902.69"
"REYNOLDS, BRYAN J",Cardiology,BOULDER,CO,"$110,537.84"
"TRUJILLO, NELSON P",Cardiology,BOULDER,CO,"$110,343.54"
"RIPOLL, EMILIA",Urology,BOULDER,CO,"$109,366.48"
"BOULDER MEDICAL CENTER, PC",Ambulatory Surgical Center,BOULDER,CO,"$107,866.53"
"KREIDL, KEN",Ophthalmology,BOULDER,CO,"$106,922.71"
"ECKSTEIN, LARRY",General Practice,BOULDER,CO,"$106,496.26"
"RUSSELL, GEORGE R",Dermatology,BOULDER,CO,"$104,967.21"
"NELSON, EWELL L",Neurology,BOULDER,CO,"$104,930.43"
"MCNEIL, JOHN R",Cardiology,BOULDER,CO,"$104,886.37"
"HANLEY, KEVIN W",Pathology,BOULDER,CO,"$104,782.85"
"ROGERS, CHARLES P",Cardiology,BOULDER,CO,"$103,456.75"
"CAMBE, PHIL C",Physical Medicine and Rehabilitation,BOULDER,CO,"$102,986.74"
"SMITH, HUNTER R",Pulmonary Disease,BOULDER,CO,"$102,950.68"
"MELOUK, SAMEH H",Urology,BOULDER,CO,"$102,489.72"
"VILLAVICENCIO, ALAN T",Neurology,BOULDER,CO,"$101,650.14"
"OZA, SAMEER A",Cardiology,BOULDER,CO,"$97,364.24"
"ZACHARIAS, ALAN S",Neurology,BOULDER,CO,"$96,773.40"
"RAJPAL, SHARAD",Neurosurgery,BOULDER,CO,"$96,241.28"
"MORRISSEY, DAVID D",Otolaryngology,BOULDER,CO,"$94,751.30"
"MINOR, THOMAS A",Pulmonary Disease,BOULDER,CO,"$93,523.79"
"JENSEN, LORI L",Hematology/Oncology,BOULDER,CO,"$91,060.91"
"FOX, JENNY R",Hematology/Oncology,BOULDER,CO,"$88,071.20"
"GRAHAM, CONNOR W",Internal Medicine,BOULDER,CO,"$87,122.77"
"KOMPALA, SUSHILA",Diagnostic Radiology,BOULDER,CO,"$82,831.17"
"PEPPER, MICHELLE",Physical Medicine and Rehabilitation,BOULDER,CO,"$80,866.58"
"WILCOX, THOMAS M",Internal Medicine,BOULDER,CO,"$80,596.94"
"LEVINE, ROBERT H",Gastroenterology,BOULDER,CO,"$79,326.08"
"THOMPSON, ROY W",Cardiology,BOULDER,CO,"$78,574.77"
"FOX, RICHARD J",General Surgery,BOULDER,CO,"$77,371.62"
"HANKS, ANNE V",Physical Therapist,BOULDER,CO,"$77,172.03"
"ISUANI, GUSTAVO L",Diagnostic Radiology,BOULDER,CO,"$77,012.27"
"STJERNHOLM, MELVIN R",Endocrinology,BOULDER,CO,"$76,066.30"
"MCCORMACK, DONALD",Ophthalmology,BOULDER,CO,"$75,422.95"
"OPPENHEIMER, DAVID A",Diagnostic Radiology,BOULDER,CO,"$75,099.90"
"MONTBRIAND, JOEL R",Gastroenterology,BOULDER,CO,"$75,021.59"
"STILP, SONJA K",Physical Medicine and Rehabilitation,BOULDER,CO,"$73,308.33"
"MCCARTY, MICHAEL C",Family Practice,BOULDER,CO,"$73,307.05"
"RYAN, MELANIE S",Internal Medicine,BOULDER,CO,"$72,866.39"
"HONG, STEVEN R",Dermatology,BOULDER,CO,"$72,559.02"
"HODEL, ANN",Physical Therapist,BOULDER,CO,"$71,077.14"
"REISH, ALEX G",Physical Medicine and Rehabilitation,BOULDER,CO,"$70,086.58"
"LEVINE, RICHARD G",Dermatology,BOULDER,CO,"$67,698.37"
"FORSYTHE, ROBERT C",Pathology,BOULDER,CO,"$66,863.52"
"YURTH, ELIZABETH F",Physical Medicine and Rehabilitation,BOULDER,CO,"$65,692.92"
"TANNER, DAVID E",Physical Medicine and Rehabilitation,BOULDER,CO,"$64,143.11"
"QUE, LEON T",Psychiatry,BOULDER,CO,"$64,009.39"
"BACHMANN, PETER",Dermatology,BOULDER,CO,"$63,324.66"
"CARTER, JEFFREY E",Internal Medicine,BOULDER,CO,"$62,332.15"
"GRADY, JAMES R",Internal Medicine,BOULDER,CO,"$62,325.45"
"BARNES, MARK F",Physical Therapist,BOULDER,CO,"$61,987.57"
"LAMOUREUX, CHRISTINE A",Diagnostic Radiology,BOULDER,CO,"$61,789.96"
"MILLER, JANICE A",Neurology,BOULDER,CO,"$60,790.03"
"KAROWE, MATTHEW W",Gastroenterology,BOULDER,CO,"$60,589.66"
"DELGADO, JOSE M",Internal Medicine,BOULDER,CO,"$60,383.13"
"PAGETT, CRISTINA M",Internal Medicine,BOULDER,CO,"$58,863.27"
"JELINEK, ROBERT A",Podiatry,BOULDER,CO,"$58,612.70"
"MORGAN, DOUGLAS C",Internal Medicine,BOULDER,CO,"$58,564.87"
"KAYE, PETER S",Gastroenterology,BOULDER,CO,"$58,316.51"
"KOCH, ROBERT B",Orthopedic Surgery,BOULDER,CO,"$58,192.69"
"KING, PAUL D",Diagnostic Radiology,BOULDER,CO,"$58,167.41"
"VOSS, LYNN A",Orthopedic Surgery,BOULDER,CO,"$57,989.93"
"NICHOLS, ROGER D",Diagnostic Radiology,BOULDER,CO,"$57,095.48"
"FINER, RICHARD M",Diagnostic Radiology,BOULDER,CO,"$56,666.09"
"YOUNG, JOSEPH T",Emergency Medicine,BOULDER,CO,"$56,224.95"
