Provider,Specialty,City,State / Country,Total Medicare payments
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,BOULDER,CO,1083324.46
"UTLAUT, NILES F",Ophthalmology,BOULDER,CO,830709.24
"ANTELL, ANDREW G",Radiation Oncology,BOULDER,CO,802622.76
"HOLLAND, MATTHEW",Cardiology,BOULDER,CO,618819.60
"FLEAGLE, JOHN T",Medical Oncology,BOULDER,CO,429488.13
"STEINBAUGH, JOHN R",Dermatology,BOULDER,CO,406143.43
"ANDORSKY, DAVID J",Hematology/Oncology,BOULDER,CO,403761.63
"BUSBY, LESLIE T",Medical Oncology,BOULDER,CO,352485.08
"DOUCET, JAMIE J",Cardiology,BOULDER,CO,342291.09
"MORAN, PATRICK L",Hematology/Oncology,BOULDER,CO,337879.78
"KELLER, DONALD J",Ophthalmology,BOULDER,CO,279938.24
"ALLEN, SHAWN B",Dermatology,BOULDER,CO,270930.75
ENDOSCOPY CENTER OF THE ROCKIES LLC,Ambulatory Surgical Center,BOULDER,CO,261261.89
"GIESEN, ANNE",Geriatric Medicine,BOULDER,CO,238711.74
"WEISMAN, STUART",Rheumatology,BOULDER,CO,205253.77
"BOULDER COMMUNITY MUSCULOSKELETAL SURGERY CENTER, LLC",Ambulatory Surgical Center,BOULDER,CO,200703.99
"PATEL, MEERA",Radiation Oncology,BOULDER,CO,196592.56
"ANDERSON, CHARLES C",Urology,BOULDER,CO,192765.25
"ROBERTS, WILLIAM A",Ophthalmology,BOULDER,CO,190284.74
"GRONSETH, CLIFF",Physical Medicine and Rehabilitation,BOULDER,CO,187650.36
"SITARIK, MARK A",Hematology/Oncology,BOULDER,CO,186999.28
"TRIPP, WARREN I",Ophthalmology,BOULDER,CO,176843.85
"LEE, MICHELE Y",Geriatric Medicine,BOULDER,CO,166616.61
"DUGHI, COCO",Internal Medicine,BOULDER,CO,163094.24
"JONES, CHARLES G",General Surgery,BOULDER,CO,159689.39
"CLARK, JAMES E",Urology,BOULDER,CO,154379.00
"CHAPMAN, JAMES B",Cardiology,BOULDER,CO,152348.22
"RECTOR, JAMES B",Orthopedic Surgery,BOULDER,CO,149711.52
"MASON, ALEXANDER M",Neurosurgery,BOULDER,CO,149119.85
"EDELMAN, JULIE V",Physical Therapist,BOULDER,CO,142937.03
"BLANCHET, WILLIAM L",Internal Medicine,BOULDER,CO,131834.55
"WEINER, STEVEN",Urology,BOULDER,CO,128043.66
"NICHOLS, BRIAN",Ophthalmology,BOULDER,CO,125693.83
"TOBEY, JOHN",Physical Medicine and Rehabilitation,BOULDER,CO,125391.79
"KALLGREN, DIANE L",Dermatology,BOULDER,CO,124763.28
"MEYER, JOHN E",Pathology,BOULDER,CO,120808.83
"SCHUTZ, JOHN A",Cardiology,BOULDER,CO,119656.54
"WHITE, DANIEL S",Cardiology,BOULDER,CO,117967.08
"WARE, MOLLY G",Cardiology,BOULDER,CO,116901.05
"LUTT, JOSEPH R",Rheumatology,BOULDER,CO,116775.19
"WARREN, JAMES D",Otolaryngology,BOULDER,CO,114133.32
"BJERKE, RANDAL D",Pulmonary Disease,BOULDER,CO,113053.73
"DOUGHERTY, MARILYN A",Ophthalmology,BOULDER,CO,111902.69
"REYNOLDS, BRYAN J",Cardiology,BOULDER,CO,110537.84
"TRUJILLO, NELSON P",Cardiology,BOULDER,CO,110343.54
"RIPOLL, EMILIA",Urology,BOULDER,CO,109366.48
"BOULDER MEDICAL CENTER, PC",Ambulatory Surgical Center,BOULDER,CO,107866.53
"KREIDL, KEN",Ophthalmology,BOULDER,CO,106922.71
"ECKSTEIN, LARRY",General Practice,BOULDER,CO,106496.26
"RUSSELL, GEORGE R",Dermatology,BOULDER,CO,104967.21
"NELSON, EWELL L",Neurology,BOULDER,CO,104930.43
"MCNEIL, JOHN R",Cardiology,BOULDER,CO,104886.37
"HANLEY, KEVIN W",Pathology,BOULDER,CO,104782.85
"ROGERS, CHARLES P",Cardiology,BOULDER,CO,103456.75
"CAMBE, PHIL C",Physical Medicine and Rehabilitation,BOULDER,CO,102986.74
"SMITH, HUNTER R",Pulmonary Disease,BOULDER,CO,102950.68
"MELOUK, SAMEH H",Urology,BOULDER,CO,102489.72
"VILLAVICENCIO, ALAN T",Neurology,BOULDER,CO,101650.14
"OZA, SAMEER A",Cardiology,BOULDER,CO,97364.24
"ZACHARIAS, ALAN S",Neurology,BOULDER,CO,96773.40
"RAJPAL, SHARAD",Neurosurgery,BOULDER,CO,96241.28
"MORRISSEY, DAVID D",Otolaryngology,BOULDER,CO,94751.30
"MINOR, THOMAS A",Pulmonary Disease,BOULDER,CO,93523.79
"JENSEN, LORI L",Hematology/Oncology,BOULDER,CO,91060.91
"FOX, JENNY R",Hematology/Oncology,BOULDER,CO,88071.20
"GRAHAM, CONNOR W",Internal Medicine,BOULDER,CO,87122.77
"KOMPALA, SUSHILA",Diagnostic Radiology,BOULDER,CO,82831.17
"PEPPER, MICHELLE",Physical Medicine and Rehabilitation,BOULDER,CO,80866.58
"WILCOX, THOMAS M",Internal Medicine,BOULDER,CO,80596.94
"LEVINE, ROBERT H",Gastroenterology,BOULDER,CO,79326.08
"THOMPSON, ROY W",Cardiology,BOULDER,CO,78574.77
"FOX, RICHARD J",General Surgery,BOULDER,CO,77371.62
"HANKS, ANNE V",Physical Therapist,BOULDER,CO,77172.03
"ISUANI, GUSTAVO L",Diagnostic Radiology,BOULDER,CO,77012.27
"STJERNHOLM, MELVIN R",Endocrinology,BOULDER,CO,76066.30
"MCCORMACK, DONALD",Ophthalmology,BOULDER,CO,75422.95
"OPPENHEIMER, DAVID A",Diagnostic Radiology,BOULDER,CO,75099.90
"MONTBRIAND, JOEL R",Gastroenterology,BOULDER,CO,75021.59
"STILP, SONJA K",Physical Medicine and Rehabilitation,BOULDER,CO,73308.33
"MCCARTY, MICHAEL C",Family Practice,BOULDER,CO,73307.05
"RYAN, MELANIE S",Internal Medicine,BOULDER,CO,72866.39
"HONG, STEVEN R",Dermatology,BOULDER,CO,72559.02
"HODEL, ANN",Physical Therapist,BOULDER,CO,71077.14
"REISH, ALEX G",Physical Medicine and Rehabilitation,BOULDER,CO,70086.58
"LEVINE, RICHARD G",Dermatology,BOULDER,CO,67698.37
"FORSYTHE, ROBERT C",Pathology,BOULDER,CO,66863.52
"YURTH, ELIZABETH F",Physical Medicine and Rehabilitation,BOULDER,CO,65692.92
"TANNER, DAVID E",Physical Medicine and Rehabilitation,BOULDER,CO,64143.11
"QUE, LEON T",Psychiatry,BOULDER,CO,64009.39
"BACHMANN, PETER",Dermatology,BOULDER,CO,63324.66
"CARTER, JEFFREY E",Internal Medicine,BOULDER,CO,62332.15
"GRADY, JAMES R",Internal Medicine,BOULDER,CO,62325.45
"BARNES, MARK F",Physical Therapist,BOULDER,CO,61987.57
"LAMOUREUX, CHRISTINE A",Diagnostic Radiology,BOULDER,CO,61789.96
"MILLER, JANICE A",Neurology,BOULDER,CO,60790.03
"KAROWE, MATTHEW W",Gastroenterology,BOULDER,CO,60589.66
"DELGADO, JOSE M",Internal Medicine,BOULDER,CO,60383.13
"PAGETT, CRISTINA M",Internal Medicine,BOULDER,CO,58863.27
"JELINEK, ROBERT A",Podiatry,BOULDER,CO,58612.70
"MORGAN, DOUGLAS C",Internal Medicine,BOULDER,CO,58564.87
"KAYE, PETER S",Gastroenterology,BOULDER,CO,58316.51
"KOCH, ROBERT B",Orthopedic Surgery,BOULDER,CO,58192.69
"KING, PAUL D",Diagnostic Radiology,BOULDER,CO,58167.41
"VOSS, LYNN A",Orthopedic Surgery,BOULDER,CO,57989.93
"NICHOLS, ROGER D",Diagnostic Radiology,BOULDER,CO,57095.48
"FINER, RICHARD M",Diagnostic Radiology,BOULDER,CO,56666.09
"YOUNG, JOSEPH T",Emergency Medicine,BOULDER,CO,56224.95
"GRANTHAM, JOHN G",Diagnostic Radiology,BOULDER,CO,55216.94
"HOWLAND, WILLIAM W",Pathology,BOULDER,CO,54609.51
"LAYNE, DEBRA J",Physical Therapist,BOULDER,CO,54574.45
"HELGANS, ROBERT E",Diagnostic Radiology,BOULDER,CO,54412.67
"HAIMES, MARK D",Internal Medicine,BOULDER,CO,53110.01
"SOLON, PETER C",Clinical Psychologist,BOULDER,CO,52993.78
"NUSSER, CHRISTOPHER A",Diagnostic Radiology,BOULDER,CO,52972.28
"EMDUR, JOSHUA A",Family Practice,BOULDER,CO,52547.98
"KEIDAN, BENJAMIN J",Internal Medicine,BOULDER,CO,51437.67
"BENNETT, KRISTIE M",Physical Therapist,BOULDER,CO,51093.86
"RYAN, COLLEEN M",Family Practice,BOULDER,CO,50756.61
"KING, MARK D",Infectious Disease,BOULDER,CO,49833.21
