Provider,Specialty,City,State / Country,Total Medicare payments
"JANOWSKI, LAWRENCE S",Internal Medicine,BROOMFIELD,CO,244672.98
"MAHALINGAM, INDIRA",Internal Medicine,BROOMFIELD,CO,139132.63
"SMITH, CHRISTOPHER M",Dermatology,BROOMFIELD,CO,134162.41
NATIONAL HISTOLORY PREP INC,Slide Preparation Facility,BROOMFIELD,CO,128260.61
WESTERN AMBULANCE INC,Ambulance Service Supplier,BROOMFIELD,CO,116226.05
"BRADEN, ROBIN D",Physical Therapist,BROOMFIELD,CO,56732.57
"CASEY, WILLIAM B",Pulmonary Disease,BROOMFIELD,CO,54361.31
"RETTIG, ROGER C",Physical Therapist,BROOMFIELD,CO,51639.22
"WICKERSHAM, NICHOLAS W",Diagnostic Radiology,BROOMFIELD,CO,51183.91
"METZGER, ANNE M",Optometry,BROOMFIELD,CO,49192.47
"CRUSE, SUSAN E",Internal Medicine,BROOMFIELD,CO,47936.73
"KING, JUSTIN M",Otolaryngology,BROOMFIELD,CO,47042.08
"DRENNAN, DANIEL A",Pain Management,BROOMFIELD,CO,43113.30
"FORMAN, BRIAN N",Physical Therapist,BROOMFIELD,CO,43050.27
"RITZMANN, SHARI L",Physical Therapist,BROOMFIELD,CO,41897.11
"FREMLING, MITCHELL A",Plastic and Reconstructive Surgery,BROOMFIELD,CO,41061.92
"LIEBENTRITT, MATTHEW A",Family Practice,BROOMFIELD,CO,40148.92
"DRENNING, ROBERT",Physical Therapist,BROOMFIELD,CO,38850.82
"DEHLER, JANET O",Emergency Medicine,BROOMFIELD,CO,37793.22
"BAGLEY, MICHAEL C",Orthopedic Surgery,BROOMFIELD,CO,36582.91
"LEISTIKOW, DAVID C",Family Practice,BROOMFIELD,CO,36196.84
"IANNOTTI, MICHAEL R",Family Practice,BROOMFIELD,CO,34708.89
"CENTENO, CHRISTOPHER J",Physical Medicine and Rehabilitation,BROOMFIELD,CO,32553.25
"KASSEL, ANDREW S",Podiatry,BROOMFIELD,CO,29650.11
"GEORGE, SARA A",Family Practice,BROOMFIELD,CO,27750.70
"STIEB, JEFFREY",Physical Therapist,BROOMFIELD,CO,25460.67
"FOX, NICOLE E",Physical Therapist,BROOMFIELD,CO,25226.23
"LUND, MARA L",Physical Therapist,BROOMFIELD,CO,24538.39
"STOKES, JEAN N",Physical Therapist,BROOMFIELD,CO,24499.87
"TROJANOVICH, CHRISTOPHER A",Internal Medicine,BROOMFIELD,CO,22533.52
"KOFFLER, BREANA L",Physical Therapist,BROOMFIELD,CO,20400.09
"SCHULTZ, JOHN R",Interventional Pain Management,BROOMFIELD,CO,18358.82
"POPE, CHARLES J",CRNA,BROOMFIELD,CO,18202.03
"ZAJAC, SARA",Physical Therapist,BROOMFIELD,CO,17957.95
"HANSON, RONALD W",Family Practice,BROOMFIELD,CO,17390.08
"HAGEN, EDWARD M",Optometry,BROOMFIELD,CO,16946.08
"GREER, RAYANN L",Physical Therapist,BROOMFIELD,CO,16899.53
"WOSLAGER, BRETT J",Physical Therapist,BROOMFIELD,CO,14223.97
"KAWECKI, DENISE S",Nurse Practitioner,BROOMFIELD,CO,14017.90
"HONEY, HEATHER L",Family Practice,BROOMFIELD,CO,13501.17
SAFEWAY INC,Mass Immunization Roster Biller,BROOMFIELD,CO,12359.36
"JORDAN, LISA",Optometry,BROOMFIELD,CO,12310.23
"KUSKIE, KURT",Optometry,BROOMFIELD,CO,10805.91
"SCOTT, JOHN A",Clinical Psychologist,BROOMFIELD,CO,10445.83
"TAYLOR, SCOTT W",Podiatry,BROOMFIELD,CO,10122.83
"SNYDER, RANDY B",Chiropractic,BROOMFIELD,CO,9968.08
"WARHURST, CRAIG E",Chiropractic,BROOMFIELD,CO,9335.32
"GRAVES, ERIC A",Chiropractic,BROOMFIELD,CO,8513.76
"VANDERKOOI, RUTH A",Family Practice,BROOMFIELD,CO,8329.93
"MIHELICH, JOHN N",Optometry,BROOMFIELD,CO,7903.94
"BOS, RACHEL",Family Practice,BROOMFIELD,CO,7605.53
"KRUEGER, KATIE M",Physician Assistant,BROOMFIELD,CO,6834.08
"SMITH, CINDY",Family Practice,BROOMFIELD,CO,6826.17
"DARNELL, JAMES R",Chiropractic,BROOMFIELD,CO,6815.21
"MURPHY, MARY ANNE C",Optometry,BROOMFIELD,CO,6453.84
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,5578.00
"LOHMEYER, NATHAN",Optometry,BROOMFIELD,CO,5363.77
"LINDEMAN, JOEL",Chiropractic,BROOMFIELD,CO,4651.47
"MARKEL, WILLIAM R",Family Practice,BROOMFIELD,CO,4382.10
"SEAGRAVES, SANDRA K",Optometry,BROOMFIELD,CO,4326.83
"VAIR, CINDY F",Physical Therapist,BROOMFIELD,CO,4102.97
"BAKER, EMILY J",Optometry,BROOMFIELD,CO,3518.25
SAFEWAY INC,Mass Immunization Roster Biller,BROOMFIELD,CO,3370.11
"LEHMAN, DEVERNE C",Chiropractic,BROOMFIELD,CO,2765.56
"CANINO, JAMIE N",Physician Assistant,BROOMFIELD,CO,2706.36
"SCHULTZ, AMANDA M",Physician Assistant,BROOMFIELD,CO,2638.82
"HILL, JAMES R",Family Practice,BROOMFIELD,CO,2537.53
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,2497.84
WALGREEN CO,Mass Immunization Roster Biller,BROOMFIELD,CO,2273.35
"HOLM, WENDY S",Physician Assistant,BROOMFIELD,CO,2237.19
"BISHOP, KARA R",Chiropractic,BROOMFIELD,CO,2158.83
"SUYAK, JOHN R",Chiropractic,BROOMFIELD,CO,1920.28
"RICHARDSON, BRADLEY L",Chiropractic,BROOMFIELD,CO,1896.96
"BORMAN, BONNIE M",Chiropractic,BROOMFIELD,CO,1890.86
"UPDYKE, REBECCA E",Chiropractic,BROOMFIELD,CO,1623.73
"BARNES, KIMBERLEE I",Obstetrics/Gynecology,BROOMFIELD,CO,1491.50
"KANDEL, ELISABETH E",Family Practice,BROOMFIELD,CO,1419.75
DILLON COMPANIES INC,Mass Immunization Roster Biller,BROOMFIELD,CO,1241.00
"PIPKIN, SHIRA L",Optometry,BROOMFIELD,CO,1012.14
"SMITH, CLINTON M",CRNA,BROOMFIELD,CO,944.08
