Provider,Specialty,City,State / Country,Total Medicare payments
METWEST INC,Clinical Laboratory,DENVER,CO,14601141.77
ROCKY MOUNTAIN TOX LLC,Clinical Laboratory,DENVER,CO,8667932.01
SCHRYVER MEDICAL SALES AND MARKETING INC.,Clinical Laboratory,DENVER,CO,3866454.58
DENVER HEALTH AND HOSPITAL AUTHORITY,Ambulance Service Supplier,DENVER,CO,3007021.50
"APP-UNIPATH, LLC",Clinical Laboratory,DENVER,CO,1872510.41
SCHRYVER MEDICAL SALES AND MARKETING INC.,Portable X-ray,DENVER,CO,1536548.05
MADISON STREET SURGERY CENTER LLC,Ambulatory Surgical Center,DENVER,CO,1347150.86
"BRAY, VANCE J",Rheumatology,DENVER,CO,1237910.04
"GLASSMAN, KENNETH",Rheumatology,DENVER,CO,1232640.21
BAKORP LLC,Portable X-ray,DENVER,CO,1164440.83
"GROSS, ERIC T",Radiation Oncology,DENVER,CO,1108632.28
"KIAN, KAVEH",Nephrology,DENVER,CO,1108099.57
"SWINEHART, JAMES",Dermatology,DENVER,CO,1093006.16
"HAGEDORN, CURTIS L",Otolaryngology,DENVER,CO,1042145.55
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,DENVER,CO,1003217.46
"HARVARD PARK SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,984012.20
"HANSON, ALAN S",Nephrology,DENVER,CO,965050.16
"CHARNEY, MICHAEL",Rheumatology,DENVER,CO,935390.29
"LIU, MIMI",Ophthalmology,DENVER,CO,887633.38
"MALYAK, MARK",Rheumatology,DENVER,CO,870558.77
"RIFKIN, ROBERT M",Hematology/Oncology,DENVER,CO,844725.48
"NOVAMED SURGERY CENTER OF DENVER, LLC",Ambulatory Surgical Center,DENVER,CO,840866.89
ROSE AMBULATORY SURGICAL CENTER LP,Ambulatory Surgical Center,DENVER,CO,770829.90
"HOLMES, DOUGLAS L",Ophthalmology,DENVER,CO,767575.63
"HOBBS, KATHRYN F",Rheumatology,DENVER,CO,751413.25
UROLOGY SURGERY CENTER OF COLORADO LLC,Ambulatory Surgical Center,DENVER,CO,745549.32
"JOONDEPH, BRIAN C",Ophthalmology,DENVER,CO,702479.23
"JOHNSON, KAREN J",Dermatology,DENVER,CO,688364.28
"WRIGHT, ROBERT C",Dermatology,DENVER,CO,668349.02
"HINSHAW, IOANA M",Hematology/Oncology,DENVER,CO,625952.74
"GENSLER, TIMOTHY",Rheumatology,DENVER,CO,617817.11
"LOWRY SURGERY CENTER, LLC",Ambulatory Surgical Center,DENVER,CO,602571.47
"PAUL, DEVCHAND",Medical Oncology,DENVER,CO,569683.26
"SEDLACEK, SCOT M",Hematology/Oncology,DENVER,CO,543642.12
"JOHNSON, DAVID W",Ophthalmology,DENVER,CO,517139.93
"KIMURA, ALAN E",Ophthalmology,DENVER,CO,497042.19
"KENNEY, THOMAS J",Hematology/Oncology,DENVER,CO,471527.97
"ZILIS, JOHN D",Ophthalmology,DENVER,CO,438572.44
"TEETER, MIRIAH M",Ophthalmology,DENVER,CO,395344.73
"AMIEL, HOWARD",Ophthalmology,DENVER,CO,380040.17
"COHN, ALLEN L",Hematology/Oncology,DENVER,CO,377997.36
"FEINER, ALAN S",Hematology/Oncology,DENVER,CO,374967.65
"MIKHAEEL-KAMEL, NADINE G",Hematology/Oncology,DENVER,CO,369401.78
"MCALEESE, KELLY A",Diagnostic Radiology,DENVER,CO,367613.10
"ALTMAN, JOHN D",Cardiology,DENVER,CO,361452.89
"KASSAN, STUART S",Rheumatology,DENVER,CO,359279.14
"CHRISTMAS, NANCY J",Ophthalmology,DENVER,CO,354327.71
"WANG, JASON",Ophthalmology,DENVER,CO,346322.37
"FESLER, MARK J",Hematology/Oncology,DENVER,CO,345506.95
"BASCHE, MICHELE L",Medical Oncology,DENVER,CO,341040.71
"PETTY, STEPHEN T",Ophthalmology,DENVER,CO,328521.10
"FELDMAN, ALEXANDER",Neurology,DENVER,CO,325738.17
"SCHRIER, DAVID M",Hematology/Oncology,DENVER,CO,323074.38
"MATOUS, JEFFREY V",Hematology/Oncology,DENVER,CO,323059.12
"KORMAN, DAVID S",Rheumatology,DENVER,CO,313643.69
"BELEN, GARY",Ophthalmology,DENVER,CO,312475.51
"ANTOLINI, CHRISTOPHER R",Rheumatology,DENVER,CO,311702.16
"PARKS, EDWARD 'TED' H",Orthopedic Surgery,DENVER,CO,301201.00
"ZAMORA, JACK A",Ophthalmology,DENVER,CO,299506.47
DENVER MID-TOWN SURGERY CENTER LTD,Ambulatory Surgical Center,DENVER,CO,297841.03
"HESS, GARY W",Orthopedic Surgery,DENVER,CO,283331.87
"JACOBS, JASON M",Ophthalmology,DENVER,CO,251242.71
"HOVLAND, PETER G",Ophthalmology,DENVER,CO,250761.92
"POPHAM, JERRY K",Ophthalmology,DENVER,CO,247598.04
"RICHHEIMER, WILLIAM E",Ophthalmology,DENVER,CO,247172.62
