Provider,Specialty,City,State / Country,Total Medicare payments
"SURGERY CENTER OF NORTHERN COLORADO, LLC",Ambulatory Surgical Center,FORT COLLINS,CO,2480089.89
"HARMONY AMBULATORY SURGERY CENTER, LLC",Ambulatory Surgical Center,FORT COLLINS,CO,1753482.75
"MILLER, TAMARA A",Neurology,FORT COLLINS,CO,1170160.58
"KOROTKIN, ARTHUR",Ophthalmology,FORT COLLINS,CO,1131134.56
E PLUS PET IMAGING XVIII LP,Independent Diagnostic Testing Facility,FORT COLLINS,CO,1020307.44
"MOORE, JAMES C",Hematology/Oncology,FORT COLLINS,CO,1003298.49
"KINDSFATER, KIRK A",Orthopedic Surgery,FORT COLLINS,CO,937948.42
"MEDGYESY, DIANA C",Hematology/Oncology,FORT COLLINS,CO,860858.14
"BAACK, BRAD R",Dermatology,FORT COLLINS,CO,846603.59
"THAKOR, MICHAEL S",Rheumatology,FORT COLLINS,CO,813755.82
HARMONY IMAGING CENTER LLC,Independent Diagnostic Testing Facility,FORT COLLINS,CO,773791.54
"KALAJIAN, ANDREW H",Dermatology,FORT COLLINS,CO,744350.01
"FOSTER, GARY J",Ophthalmology,FORT COLLINS,CO,686177.31
"MCFARLAND, ROSS W",Medical Oncology,FORT COLLINS,CO,636703.98
ORTHOPAEDIC & SPINE CENTER OF THE ROCKIES,Ambulatory Surgical Center,FORT COLLINS,CO,552358.81
"CREWS, KENT R",Ophthalmology,FORT COLLINS,CO,499228.33
"BASHFORD, KENT P",Ophthalmology,FORT COLLINS,CO,494938.75
"KORNFELD, BRUCE W",Dermatology,FORT COLLINS,CO,481328.51
"OLSEN, KARL E",Ophthalmology,FORT COLLINS,CO,464984.44
"JIMENEZ, BRIAN L",Occupational therapist,FORT COLLINS,CO,422882.27
"GIRARDI, GEORGE E",Interventional Pain Management,FORT COLLINS,CO,414539.97
"SMITH, RANDALL W",Ophthalmology,FORT COLLINS,CO,358766.85
"NORRIS, ANDREW M",Ophthalmology,FORT COLLINS,CO,322423.37
"GREY, SEAN G",Orthopedic Surgery,FORT COLLINS,CO,305967.59
"CLARK, CLIFFORD D",Orthopedic Surgery,FORT COLLINS,CO,305918.14
"BIGGS, WILLIAM D",Orthopedic Surgery,FORT COLLINS,CO,304409.58
"PETIT, JOSHUA H",Radiation Oncology,FORT COLLINS,CO,290283.55
"BENZ, ROBERT J",Orthopedic Surgery,FORT COLLINS,CO,286442.69
"STILES, STEVEN J",Clinical Psychologist,FORT COLLINS,CO,282348.66
"LYNCH, MICHAEL J",Internal Medicine,FORT COLLINS,CO,233470.50
"MATTOCH, INGERLISA W",Pathology,FORT COLLINS,CO,224223.55
"BENDER, JOHN L",Emergency Medicine,FORT COLLINS,CO,216070.01
"ALLEN, TIMOTHY J",Neurology,FORT COLLINS,CO,214848.48
"JOHNSON, CHARLES T",Cardiology,FORT COLLINS,CO,213333.39
"ASHMORE, ROGER C",Cardiology,FORT COLLINS,CO,213218.18
"MILLER, WILLIAM E",Cardiology,FORT COLLINS,CO,205526.41
"REISTAD, CHET E",Ophthalmology,FORT COLLINS,CO,199112.25
"YEMM, STEPHEN J",Physical Medicine and Rehabilitation,FORT COLLINS,CO,195977.34
"ROBINSON, MATTHEW J",Ophthalmology,FORT COLLINS,CO,187309.49
"EDDY, MICHAEL J",Urology,FORT COLLINS,CO,186504.68
"TURNER, DONN M",Neurosurgery,FORT COLLINS,CO,181906.39
"PURVIS, MATTHEW T",Cardiology,FORT COLLINS,CO,181896.19
"THOMAS, MICHAEL I",Podiatry,FORT COLLINS,CO,179673.48
"COESTER, HANS C",Neurosurgery,FORT COLLINS,CO,179281.76
FOOT SURGERY CENTER OF NORTHERN COLORADO,Ambulatory Surgical Center,FORT COLLINS,CO,175604.87
"DOING, ANTHONY H",Cardiology,FORT COLLINS,CO,174991.48
"OLDEMEYER, JOHN B",Cardiology,FORT COLLINS,CO,174580.06
"MCFERRAN, MARK",Orthopedic Surgery,FORT COLLINS,CO,173139.43
"KISER, ROBERT H",Cardiac Electrophysiology,FORT COLLINS,CO,170917.74
"DOW, TRISTAN J",Cardiology,FORT COLLINS,CO,169986.63
"KAUFMAN, STEVEN L",General Surgery,FORT COLLINS,CO,169376.30
"TRUMPER, ROCCI V",Orthopedic Surgery,FORT COLLINS,CO,169020.88
"RODRIGUEZ, JUAN B",Family Practice,FORT COLLINS,CO,165442.16
"BEARD, DOUGLAS W",Orthopedic Surgery,FORT COLLINS,CO,165293.15
"PHILLIPS, GEORGE H",Urology,FORT COLLINS,CO,165154.68
"STOLTZ, CHAD L",Cardiology,FORT COLLINS,CO,164796.16
"STROTE, JUSTIN A",Cardiology,FORT COLLINS,CO,160989.24
"AUSTIN, WENDY J",Cardiology,FORT COLLINS,CO,157003.59
"DOWNES, THOMAS R",Cardiology,FORT COLLINS,CO,155904.89
"CURIEL, MICHAEL P",Neurology,FORT COLLINS,CO,155475.04
"HERRERA, XAVIER",Internal Medicine,FORT COLLINS,CO,155383.26
"TREAT, STEPHEN A",Cardiology,FORT COLLINS,CO,154466.25
"LUM LUNG, CHRISTINE M",Internal Medicine,FORT COLLINS,CO,153663.93
"SCHULTE, ROBERT C",Podiatry,FORT COLLINS,CO,149287.71
"MERRITT, JASON L",Nephrology,FORT COLLINS,CO,146460.12
"COBB, DAVID",Infectious Disease,FORT COLLINS,CO,142519.58
"LEE, MICHAEL R",Urology,FORT COLLINS,CO,142077.37
"SOPER, TIMOTHY H",Urology,FORT COLLINS,CO,141368.72
"LUCKASEN, GARY J",Cardiology,FORT COLLINS,CO,140833.36
"GREEN, CHARLES P",Cardiology,FORT COLLINS,CO,140327.87
"STAFFORD, NEIL K",Internal Medicine,FORT COLLINS,CO,135359.50
"SISSON, CHARLES B",Interventional Pain Management,FORT COLLINS,CO,132579.16
"REESE, MARK F",Diagnostic Radiology,FORT COLLINS,CO,132574.93
"ASADI, S D",Internal Medicine,FORT COLLINS,CO,131278.99
"COMPTON, RAND F",Gastroenterology,FORT COLLINS,CO,130115.91
"PAQUELET, JEAN R",Diagnostic Radiology,FORT COLLINS,CO,129244.24
"KNUTSEN, CHAD M",Podiatry,FORT COLLINS,CO,126744.08
"GIRDLER, BENJAMIN J",Urology,FORT COLLINS,CO,125246.18
"RUSNAK, MICHAEL P",Orthopedic Surgery,FORT COLLINS,CO,125243.23
"WEST, BARBARA L",Dermatology,FORT COLLINS,CO,123502.42
