Provider,Specialty,City,State / Country,Total Medicare payments
"WITTA, SAMIR E",Hematology/Oncology,GOLDEN,CO,"$827,675.40"
"RED ROCKS SURGERY CENTERS, LLC",Ambulatory Surgical Center,GOLDEN,CO,"$566,182.36"
GOLDEN RIDGE SURGERY CENTER,Ambulatory Surgical Center,GOLDEN,CO,"$536,452.13"
"SHIRAR, LORA E",Family Practice,GOLDEN,CO,"$428,832.88"
"CUEVAS, KEVIN H",Ophthalmology,GOLDEN,CO,"$292,175.63"
"MILLS, MARK F",Orthopedic Surgery,GOLDEN,CO,"$234,612.53"
"LAMMENS, PETER N",Orthopedic Surgery,GOLDEN,CO,"$165,716.32"
"PATEL, NIMESH B",Orthopedic Surgery,GOLDEN,CO,"$149,902.92"
"DOBLER, SARAH M",Physician Assistant,GOLDEN,CO,"$141,296.50"
"FORAN, JARED R",Orthopedic Surgery,GOLDEN,CO,"$134,213.37"
"AGARWALA, AMIT O",Orthopedic Surgery,GOLDEN,CO,"$124,672.64"
"JENKINS, RAEBURN M",Orthopedic Surgery,GOLDEN,CO,"$117,851.63"
"STRAEHLEY, DOUGLAS J",Sports Medicine,GOLDEN,CO,"$116,555.82"
"HILL, STANLEY P",Dermatology,GOLDEN,CO,"$113,392.80"
"KESTEN, JEFFREY",Physical Medicine and Rehabilitation,GOLDEN,CO,"$110,519.25"
"MAYDEW, RANDALL P",Anesthesiology,GOLDEN,CO,"$104,877.94"
"CHILDS, CATHERINE M",Physical Therapist,GOLDEN,CO,"$92,379.20"
"KNIGHT, KAREN H",Pain Management,GOLDEN,CO,"$89,605.53"
"HEMLER, DOUGLAS E",Physical Medicine and Rehabilitation,GOLDEN,CO,"$75,543.36"
"DILLEHAY, REX L",CRNA,GOLDEN,CO,"$70,983.61"
"SCHNEIDER, DAVID J",Orthopedic Surgery,GOLDEN,CO,"$69,435.64"
"JOHNSON, JAMES T",Sports Medicine,GOLDEN,CO,"$68,949.84"
"HOWE, WILLIAM",Dermatology,GOLDEN,CO,"$65,170.23"
"ROWLAND, EDMUND B",Hand Surgery,GOLDEN,CO,"$61,606.38"
"NGUYEN, JASON T",Internal Medicine,GOLDEN,CO,"$57,025.92"
"CONKLIN, MARK J",Orthopedic Surgery,GOLDEN,CO,"$56,828.99"
