Provider,Specialty,City,State / Country,Total Medicare payments
"WITTA, SAMIR E",Hematology/Oncology,GOLDEN,CO,827675.40
"RED ROCKS SURGERY CENTERS, LLC",Ambulatory Surgical Center,GOLDEN,CO,566182.36
GOLDEN RIDGE SURGERY CENTER,Ambulatory Surgical Center,GOLDEN,CO,536452.13
"SHIRAR, LORA E",Family Practice,GOLDEN,CO,428832.88
"CUEVAS, KEVIN H",Ophthalmology,GOLDEN,CO,292175.63
"MILLS, MARK F",Orthopedic Surgery,GOLDEN,CO,234612.53
"LAMMENS, PETER N",Orthopedic Surgery,GOLDEN,CO,165716.32
"PATEL, NIMESH B",Orthopedic Surgery,GOLDEN,CO,149902.92
"DOBLER, SARAH M",Physician Assistant,GOLDEN,CO,141296.50
"FORAN, JARED R",Orthopedic Surgery,GOLDEN,CO,134213.37
"AGARWALA, AMIT O",Orthopedic Surgery,GOLDEN,CO,124672.64
"JENKINS, RAEBURN M",Orthopedic Surgery,GOLDEN,CO,117851.63
"STRAEHLEY, DOUGLAS J",Sports Medicine,GOLDEN,CO,116555.82
"HILL, STANLEY P",Dermatology,GOLDEN,CO,113392.80
"KESTEN, JEFFREY",Physical Medicine and Rehabilitation,GOLDEN,CO,110519.25
"MAYDEW, RANDALL P",Anesthesiology,GOLDEN,CO,104877.94
"CHILDS, CATHERINE M",Physical Therapist,GOLDEN,CO,92379.20
"KNIGHT, KAREN H",Pain Management,GOLDEN,CO,89605.53
"HEMLER, DOUGLAS E",Physical Medicine and Rehabilitation,GOLDEN,CO,75543.36
"DILLEHAY, REX L",CRNA,GOLDEN,CO,70983.61
"SCHNEIDER, DAVID J",Orthopedic Surgery,GOLDEN,CO,69435.64
"JOHNSON, JAMES T",Sports Medicine,GOLDEN,CO,68949.84
"HOWE, WILLIAM",Dermatology,GOLDEN,CO,65170.23
"ROWLAND, EDMUND B",Hand Surgery,GOLDEN,CO,61606.38
"NGUYEN, JASON T",Internal Medicine,GOLDEN,CO,57025.92
"CONKLIN, MARK J",Orthopedic Surgery,GOLDEN,CO,56828.99
"HOEKSTRA, KATHERINE E",Internal Medicine,GOLDEN,CO,56300.92
"ROBINSON, WALTER G",Sports Medicine,GOLDEN,CO,54785.54
"FOULK, DOUGLAS A",Sports Medicine,GOLDEN,CO,54372.86
