Provider,Specialty,City,State / Country,Total Medicare payments
"CARTER, DOUGLAS B",Ophthalmology,GREELEY,CO,1517592.37
MED-TRANS CORPORATION,Ambulance Service Supplier,GREELEY,CO,734450.22
"LEVINE, JAMES W",Rheumatology,GREELEY,CO,697406.56
"THOMPSON, JOHN S",Rheumatology,GREELEY,CO,680808.25
"MURRAY, GARVIN C",Rheumatology,GREELEY,CO,651099.48
"MOUNTAIN VISTA ORTHOPEDIC SURGERY CENTER, LLC",Ambulatory Surgical Center,GREELEY,CO,611820.32
"CREWS, MICHAEL J",Ophthalmology,GREELEY,CO,483052.80
COUNTY OF WELD,Ambulance Service Supplier,GREELEY,CO,427073.23
"DHUPAR, SCOTT K",Orthopedic Surgery,GREELEY,CO,419454.20
"ABSTON, PHILLIP A",Interventional Pain Management,GREELEY,CO,413174.44
"EWING, DAVID L",Neurology,GREELEY,CO,373568.27
"JENG, SAMUEL M",Ophthalmology,GREELEY,CO,296885.18
"UYEMURA, MATTHEW J",Ophthalmology,GREELEY,CO,274521.81
"BLATTNER, MARY A",Dermatology,GREELEY,CO,270896.79
"DONG, LIN-WANG",Cardiology,GREELEY,CO,266636.20
"RADEMACHER, DONALD R",Internal Medicine,GREELEY,CO,221523.16
"CHAPEL, HAROLD L",Cardiology,GREELEY,CO,183694.16
"FULLER, BRIAN G",Radiation Oncology,GREELEY,CO,168841.23
"SHIHABI, AHMAD H",Cardiology,GREELEY,CO,167674.24
"BERNTSEN, MARK F",Internal Medicine,GREELEY,CO,167378.92
"LOECKE, STEVEN W",Internal Medicine,GREELEY,CO,158069.89
"BECKMANN, JAMES H",Cardiology,GREELEY,CO,157112.23
"FOE, ELAINE V",Ophthalmology,GREELEY,CO,138836.18
"WEEKS, JEFFREY B",Ophthalmology,GREELEY,CO,137925.22
"WOLACH, JAMES W",Urology,GREELEY,CO,137143.52
"HURST, PAUL G",Cardiology,GREELEY,CO,134174.79
"GOODMAN, GARY R",Urology,GREELEY,CO,132198.98
"MAZOWIECKI, MICHAEL C",Neurology,GREELEY,CO,131219.00
"EBENS, JOHN B",Internal Medicine,GREELEY,CO,124734.24
"POOLE, ALLISON M",Physician Assistant,GREELEY,CO,124145.95
"HAMNER, HARRY W",Pathology,GREELEY,CO,120095.15
"GRYBOSKI, CYNTHIA L",Cardiology,GREELEY,CO,119413.33
"ZENK, DANIEL R",Internal Medicine,GREELEY,CO,118977.68
"RATH, GARY A",Cardiology,GREELEY,CO,118015.57
"DOWGIN, THOMAS A",Gastroenterology,GREELEY,CO,117799.66
"JANATA, KELLI R",Pulmonary Disease,GREELEY,CO,115558.39
"PFAHNL, ARNOLD E",Cardiology,GREELEY,CO,109426.41
"CASH, ROBERT L",Internal Medicine,GREELEY,CO,107936.48
"JANATA, ROBERT J",Pulmonary Disease,GREELEY,CO,102238.12
"CRYLEN, CURTIS E",Urology,GREELEY,CO,102195.36
"EMERSON, BARBARA L",Internal Medicine,GREELEY,CO,101325.89
"KREIDER, DAN F",Diagnostic Radiology,GREELEY,CO,97836.06
"SANDERFORD, KELLY R",Orthopedic Surgery,GREELEY,CO,97440.26
"CHUNG, WILLIS",Diagnostic Radiology,GREELEY,CO,95897.39
"TALLMAN, MARSHA H",Internal Medicine,GREELEY,CO,93576.52
"CHRISTIANSEN, DANA L",Internal Medicine,GREELEY,CO,92666.41
"KEMME, DOUGLAS J",Hematology/Oncology,GREELEY,CO,91591.42
