Provider,Specialty,City,State / Country,Total Medicare payments
"SINGLETON, JAMES D",Rheumatology,HIGHLANDS RANCH,CO,852599.99
"CONAHAN, JAMES B",Ophthalmology,HIGHLANDS RANCH,CO,221154.77
"BURKETT, ELLEN M",Internal Medicine,HIGHLANDS RANCH,CO,150745.71
"AIKIN, JOHN D",Cardiology,HIGHLANDS RANCH,CO,110452.62
"GIPSON, WILLIAM T",Internal Medicine,HIGHLANDS RANCH,CO,104905.21
"MORRIS, BARBARA A",Family Practice,HIGHLANDS RANCH,CO,104317.92
"STRAIGHT, JAY M",Emergency Medicine,HIGHLANDS RANCH,CO,98820.81
"GOTT, CHAD",Physical Therapist,HIGHLANDS RANCH,CO,77682.08
"REGAN, JAMES R",Internal Medicine,HIGHLANDS RANCH,CO,73116.47
"GARRISON, JULIANNE R",General Practice,HIGHLANDS RANCH,CO,72729.57
"FERRER, ARTHUR F",Family Practice,HIGHLANDS RANCH,CO,59429.60
"MARTIN, DENNIS W",Physical Therapist,HIGHLANDS RANCH,CO,58585.62
"MCLEAN, RONALD A",Family Practice,HIGHLANDS RANCH,CO,56835.96
"WHITE, THOMAS C",Internal Medicine,HIGHLANDS RANCH,CO,50222.29
"SIMION-RODGERS, SORINA",Psychiatry,HIGHLANDS RANCH,CO,49669.10
"PARISI, BERNADETTE",Physical Therapist,HIGHLANDS RANCH,CO,46901.42
"REINER, SETH A",Neurology,HIGHLANDS RANCH,CO,45091.85
"WITTERS, JASON C",Optometry,HIGHLANDS RANCH,CO,44666.18
"COOPER, WILLIAM H",Family Practice,HIGHLANDS RANCH,CO,40996.57
"MOXHAM-FISHER, PATRICIA A",Nurse Practitioner,HIGHLANDS RANCH,CO,33820.42
"ROBERSON, REX M",Optometry,HIGHLANDS RANCH,CO,29934.42
"OETOMO, INDRA S",Physical Therapist,HIGHLANDS RANCH,CO,29257.49
"CULBERTSON, JUDY M",Physical Therapist,HIGHLANDS RANCH,CO,26606.57
"EASON-DELHOUGNE, MICHELLE B",Family Practice,HIGHLANDS RANCH,CO,24783.65
"GUTHRIE, HEATHER",Licensed Clinical Social Worker,HIGHLANDS RANCH,CO,23290.49
"RUNYON, TIMOTHY M",Physical Therapist,HIGHLANDS RANCH,CO,22876.63
"MACINTYRE, KEN",Psychiatry,HIGHLANDS RANCH,CO,19605.66
"READY, TYLER J",Physical Therapist,HIGHLANDS RANCH,CO,16166.17
"ELLIS, AMY E",Psychiatry,HIGHLANDS RANCH,CO,15636.58
"WEISS, DAVID B",Psychiatry,HIGHLANDS RANCH,CO,14692.02
"MONTANO, MARK J",Family Practice,HIGHLANDS RANCH,CO,14521.81
"BANDSTRA, DEBRA J",Speech Language Pathologist,HIGHLANDS RANCH,CO,13007.22
"FLEMING, DALLAS",Psychiatry,HIGHLANDS RANCH,CO,10708.37
"TAYLOR, ROGER",Optometry,HIGHLANDS RANCH,CO,10566.98
"CLEMMONS, RICHARD S",Neurology,HIGHLANDS RANCH,CO,9850.74
"RIDDER, KENNETH D",Optometry,HIGHLANDS RANCH,CO,9503.03
"WEBER, SUSAN E",Psychiatry,HIGHLANDS RANCH,CO,9402.45
"NOCE, MICHAEL A",Family Practice,HIGHLANDS RANCH,CO,9311.61
"WELLER, KENNETH A",Family Practice,HIGHLANDS RANCH,CO,9094.65
WALGREEN CO,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,9085.85
"RUGER, JANE A",Family Practice,HIGHLANDS RANCH,CO,8706.59
"LUNDBERG, GRANT M",Physical Therapist,HIGHLANDS RANCH,CO,8634.47
"BRAUN, SHARON M",Family Practice,HIGHLANDS RANCH,CO,7916.34
"GRAY, JOHN S",Preventive Medicine,HIGHLANDS RANCH,CO,7573.43
SAFEWAY INC,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,5521.25
"REINHOLTZ, NICHOLAS R",Chiropractic,HIGHLANDS RANCH,CO,5137.27
DILLON COMPANIES INC,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,5123.13
"SCOTT, JONATHON E",Podiatry,HIGHLANDS RANCH,CO,5060.93
WALGREEN CO,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,4932.60
"PETERSON, CHAD G",CRNA,HIGHLANDS RANCH,CO,4716.07
"JACOBS, LAWRENCE L",Optometry,HIGHLANDS RANCH,CO,4621.45
DILLON COMPANIES INC,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,3864.27
"VERVAET, KERI J",Optometry,HIGHLANDS RANCH,CO,3842.06
"GUY, JASON",Physician Assistant,HIGHLANDS RANCH,CO,3592.03
"JACOBSON, DEBORAH L",Family Practice,HIGHLANDS RANCH,CO,3551.31
"PIEL, MICHAEL T",Family Practice,HIGHLANDS RANCH,CO,3439.09
"NURDEL, MANSUR",Optometry,HIGHLANDS RANCH,CO,3372.87
"RICCELLI, MARY",Nurse Practitioner,HIGHLANDS RANCH,CO,3361.47
"PARISET, JACQUELYN M",Family Practice,HIGHLANDS RANCH,CO,3190.10
WALGREEN CO,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,2238.01
"GOMEZ, MARCO A",Family Practice,HIGHLANDS RANCH,CO,2041.17
"MUNSON, MITCHELL T",Optometry,HIGHLANDS RANCH,CO,2039.85
"KERN, DAVID",Psychiatry,HIGHLANDS RANCH,CO,1833.79
"GINGRAS, RICHARD W",Chiropractic,HIGHLANDS RANCH,CO,1548.00
"TRAN, BAU P",Physician Assistant,HIGHLANDS RANCH,CO,1528.61
"CANDIA, JULIE R",Nurse Practitioner,HIGHLANDS RANCH,CO,1499.44
TARGET CORPORATION AND SUBSIDIARIES,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,1468.60
"BURGE, ANITA C",Nurse Practitioner,HIGHLANDS RANCH,CO,1457.67
DILLON COMPANIES INC,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,1346.00
TARGET CORPORATION AND SUBSIDIARIES,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,1244.20
"CRAIG, KACEY A",Nurse Practitioner,HIGHLANDS RANCH,CO,1099.32
DILLON COMPANIES INC,Mass Immunization Roster Biller,HIGHLANDS RANCH,CO,1090.16
"GEERSEN, PAUL J",Chiropractic,HIGHLANDS RANCH,CO,851.76
KAISER FOUNDATION HEALTH PLAN OF CO,Clinical Laboratory,HIGHLANDS RANCH,CO,153.00
