Provider,Specialty,City,State / Country,Total Medicare payments
"KANTOR, ROBERT S",Medical Oncology,LAKEWOOD,CO,"$1,665,083.61"
WEST METRO FIRE PROTECTION DISTRICT,Ambulance Service Supplier,LAKEWOOD,CO,"$1,004,831.85"
"WILLIAMS, DANNY C",Rheumatology,LAKEWOOD,CO,"$983,241.02"
ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,Ambulatory Surgical Center,LAKEWOOD,CO,"$949,061.56"
"MCDONNELL, MICHAELA W",Dermatology,LAKEWOOD,CO,"$553,086.34"
"HURT, DAVID L",Dermatology,LAKEWOOD,CO,"$531,832.17"
METROPOLITAN PATHOLOGISTS PC,Clinical Laboratory,LAKEWOOD,CO,"$506,071.65"
DENVER EYE SURGERY CENTER INC.,Ambulatory Surgical Center,LAKEWOOD,CO,"$454,095.51"
"OTSUKA, ALVIN L",Hematology/Oncology,LAKEWOOD,CO,"$346,342.42"
"MAUS, TODD L",Family Practice,LAKEWOOD,CO,"$343,205.88"
"MOAZZAM, NAUMAN",Hematology/Oncology,LAKEWOOD,CO,"$291,045.15"
"KUMAR, RAJIV",Ophthalmology,LAKEWOOD,CO,"$274,552.95"
"BUI, HAI P",Internal Medicine,LAKEWOOD,CO,"$259,317.53"
"MARTIN-WIMMER, DARNELL L",Dermatology,LAKEWOOD,CO,"$254,203.40"
"CHERRY CREEK IMAGING, LLC",Independent Diagnostic Testing Facility,LAKEWOOD,CO,"$242,686.10"
"MA, LING",Hematology/Oncology,LAKEWOOD,CO,"$230,309.33"
"DRY CREEK IMAGING, LLC",Independent Diagnostic Testing Facility,LAKEWOOD,CO,"$212,998.59"
"GOLDBERG, SHELDON",Physical Medicine and Rehabilitation,LAKEWOOD,CO,"$206,641.35"
"STAHL, JAN H",Family Practice,LAKEWOOD,CO,"$192,181.81"
"MATARAZZO, JOSEPH",Family Practice,LAKEWOOD,CO,"$179,184.33"
"RUBINSTEIN, JEFFREY D",Cardiology,LAKEWOOD,CO,"$177,001.11"
"MILLER, PAUL D",Nephrology,LAKEWOOD,CO,"$162,571.80"
"MEHTA, NALIN J",Ophthalmology,LAKEWOOD,CO,"$138,205.38"
"SABIN, JEFFREY J",Orthopedic Surgery,LAKEWOOD,CO,"$132,355.58"
"GURDIN, WILLIAM H",Cardiology,LAKEWOOD,CO,"$131,669.19"
"BRADY, JAMES",Emergency Medicine,LAKEWOOD,CO,"$126,497.93"
"NICHOLS, ELIZABETH M",Pulmonary Disease,LAKEWOOD,CO,"$126,485.40"
