Provider,Specialty,City,State / Country,Total Medicare payments
"KANTOR, ROBERT S",Medical Oncology,LAKEWOOD,CO,1665083.61
WEST METRO FIRE PROTECTION DISTRICT,Ambulance Service Supplier,LAKEWOOD,CO,1004831.85
"WILLIAMS, DANNY C",Rheumatology,LAKEWOOD,CO,983241.02
ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,Ambulatory Surgical Center,LAKEWOOD,CO,949061.56
"MCDONNELL, MICHAELA W",Dermatology,LAKEWOOD,CO,553086.34
"HURT, DAVID L",Dermatology,LAKEWOOD,CO,531832.17
METROPOLITAN PATHOLOGISTS PC,Clinical Laboratory,LAKEWOOD,CO,506071.65
DENVER EYE SURGERY CENTER INC.,Ambulatory Surgical Center,LAKEWOOD,CO,454095.51
"OTSUKA, ALVIN L",Hematology/Oncology,LAKEWOOD,CO,346342.42
"MAUS, TODD L",Family Practice,LAKEWOOD,CO,343205.88
"MOAZZAM, NAUMAN",Hematology/Oncology,LAKEWOOD,CO,291045.15
"KUMAR, RAJIV",Ophthalmology,LAKEWOOD,CO,274552.95
"BUI, HAI P",Internal Medicine,LAKEWOOD,CO,259317.53
"MARTIN-WIMMER, DARNELL L",Dermatology,LAKEWOOD,CO,254203.40
"CHERRY CREEK IMAGING, LLC",Independent Diagnostic Testing Facility,LAKEWOOD,CO,242686.10
"MA, LING",Hematology/Oncology,LAKEWOOD,CO,230309.33
"DRY CREEK IMAGING, LLC",Independent Diagnostic Testing Facility,LAKEWOOD,CO,212998.59
"GOLDBERG, SHELDON",Physical Medicine and Rehabilitation,LAKEWOOD,CO,206641.35
"STAHL, JAN H",Family Practice,LAKEWOOD,CO,192181.81
"MATARAZZO, JOSEPH",Family Practice,LAKEWOOD,CO,179184.33
"RUBINSTEIN, JEFFREY D",Cardiology,LAKEWOOD,CO,177001.11
"MILLER, PAUL D",Nephrology,LAKEWOOD,CO,162571.80
"MEHTA, NALIN J",Ophthalmology,LAKEWOOD,CO,138205.38
"SABIN, JEFFREY J",Orthopedic Surgery,LAKEWOOD,CO,132355.58
"GURDIN, WILLIAM H",Cardiology,LAKEWOOD,CO,131669.19
"BRADY, JAMES",Emergency Medicine,LAKEWOOD,CO,126497.93
"NICHOLS, ELIZABETH M",Pulmonary Disease,LAKEWOOD,CO,126485.40
"CHU, HENRY D",Pathology,LAKEWOOD,CO,121040.85
"DURAND, PHILLIP W",Diagnostic Radiology,LAKEWOOD,CO,118579.29
