Provider,Specialty,City,State / Country,Total Medicare payments
"TILTON, ELISHA P",Ophthalmology,LONGMONT,CO,2119899.60
"BENEDICT, WILLIAM L",Ophthalmology,LONGMONT,CO,2091526.69
"LONGMONT SURGERY CENTER, LLC",Ambulatory Surgical Center,LONGMONT,CO,916190.98
"PERKINS, JEFFREY D",Rheumatology,LONGMONT,CO,553558.55
"STATHIS, JOHN",Cardiology,LONGMONT,CO,540555.35
"MATHWICH, BRIAN N",Family Practice,LONGMONT,CO,494376.43
"FISHER, ROBERT E",Hematology/Oncology,LONGMONT,CO,487304.94
"BACKUP, LINDA",Cardiology,LONGMONT,CO,463782.52
"BARNETT, JOHN M",Hematology/Oncology,LONGMONT,CO,430364.21
"JOHNSON, MICHAEL J",Hematology/Oncology,LONGMONT,CO,398667.68
"ROTHSTEIN, MICAH W",Ophthalmology,LONGMONT,CO,352027.61
"MCCARTY, DAVID",Internal Medicine,LONGMONT,CO,337641.53
"VANHOOK, CHARLES J",Pulmonary Disease,LONGMONT,CO,317911.90
"TANGEL, DOUGLAS J",Pulmonary Disease,LONGMONT,CO,303430.24
"EHRLICH, MATTHEW I",Ophthalmology,LONGMONT,CO,282111.73
"KATUNA, BRUCE A",Neurology,LONGMONT,CO,250283.78
TWIN PEAKS MEDICAL IMAGING LLC,Independent Diagnostic Testing Facility,LONGMONT,CO,227616.81
"KARBASSI, MOHAMMAD",Ophthalmology,LONGMONT,CO,218356.33
"HUGHES, BRIAN R",Family Practice,LONGMONT,CO,206237.20
"GOULD, JACQUELYNN M",Family Practice,LONGMONT,CO,198207.80
"CLARK, SCOTT",Dermatology,LONGMONT,CO,196458.73
"MANION, SEAN P",Urology,LONGMONT,CO,192035.41
"MEYERS, JOEL S",Ophthalmology,LONGMONT,CO,190966.85
"ANDREWS, PETER R",Ophthalmology,LONGMONT,CO,169280.12
"JENSEN, JONATHAN E",Gastroenterology,LONGMONT,CO,163464.80
"GROSSMAN, BRUCE M",Gastroenterology,LONGMONT,CO,160605.98
"BRITT, DAVID",Family Practice,LONGMONT,CO,156159.35
ENDOSCOPY CENTER OF THE ROCKIES LLC,Ambulatory Surgical Center,LONGMONT,CO,155983.56
"IQBAL, NUZHAT",Gastroenterology,LONGMONT,CO,146525.98
"TRAN, NGUYET-ANH T",Rheumatology,LONGMONT,CO,139619.88
"COONEY, WILLIAM P",Orthopedic Surgery,LONGMONT,CO,138905.48
"WOOD, PETER",Orthopedic Surgery,LONGMONT,CO,137909.21
"CARR, ALFRED N",Otolaryngology,LONGMONT,CO,128678.93
MOUNTAIN VIEW FIRE PROTECTION DISTRICT,Ambulance Service Supplier,LONGMONT,CO,127924.30
"COFF, PHILIP",Gastroenterology,LONGMONT,CO,126485.09
"PODLECKI, DAVID A",Endocrinology,LONGMONT,CO,125187.66
"O'NEIL, CATHY",Family Practice,LONGMONT,CO,124646.60
"FITZGIBBONS, ROBERT E",Orthopedic Surgery,LONGMONT,CO,119029.79
