Provider,Specialty,City,State / Country,Total Medicare payments
"LANSING, MARY B",Ophthalmology,LOUISVILLE,CO,2029074.78
"EICKMANN, THOMAS H",Orthopedic Surgery,LOUISVILLE,CO,193934.86
"FLATIRONS SURGERY CENTER, LLC",Ambulatory Surgical Center,LOUISVILLE,CO,124078.26
"SHEN, MICHAEL S",Orthopedic Surgery,LOUISVILLE,CO,93105.14
LOUISVILLE FIRE PROTECTION DISTRICT,Ambulance Service Supplier,LOUISVILLE,CO,71961.25
"STEWART, RICHARD",Ophthalmology,LOUISVILLE,CO,71917.22
"HO, STEPHEN C",Dermatology,LOUISVILLE,CO,71205.33
"MONDROW, ERIK M",Internal Medicine,LOUISVILLE,CO,67243.33
"CASTRO, BRYAN A",Orthopedic Surgery,LOUISVILLE,CO,64829.66
"KELL, HALE M",Optometry,LOUISVILLE,CO,58413.58
"TALAMANTES, LISA H",Family Practice,LOUISVILLE,CO,58291.87
"BYRT, JULIE A",Physical Therapist,LOUISVILLE,CO,55941.50
"GRAUER, J D",Orthopedic Surgery,LOUISVILLE,CO,53094.18
"WAGNER, WILLIAM J",Neurology,LOUISVILLE,CO,51718.12
"NUHFER, DAVID M",Family Practice,LOUISVILLE,CO,51174.71
"WERTZ, MICHAEL P",Orthopedic Surgery,LOUISVILLE,CO,48224.30
"FOX, CHRISTOPHER R",Endocrinology,LOUISVILLE,CO,47643.60
"HERRMANN, GLENN E",Plastic and Reconstructive Surgery,LOUISVILLE,CO,44713.84
"MAZZOLA, TIMOTHY J",Family Practice,LOUISVILLE,CO,40332.10
"MILLER, JOHN M",Podiatry,LOUISVILLE,CO,38652.55
"REID, JAMES",Orthopedic Surgery,LOUISVILLE,CO,38045.89
"PINTO, RANDOLPH",Family Practice,LOUISVILLE,CO,35973.79
"GITCHELL, HEATHER L",Optometry,LOUISVILLE,CO,32306.65
"PATTERSON, MARCIA L",Nurse Practitioner,LOUISVILLE,CO,32218.59
"ANDERSON, BRAD D",Family Practice,LOUISVILLE,CO,31197.50
"KAMATH, VINAYA K",Endocrinology,LOUISVILLE,CO,30800.02
"LISCHWE, THOMAS",Family Practice,LOUISVILLE,CO,30418.43
"ARBOUR, STEVEN L",Physician Assistant,LOUISVILLE,CO,28816.48
"BEEKS, CINDY J",Optometry,LOUISVILLE,CO,28578.78
"OPPEGAARD, JAIME L",Physical Therapist,LOUISVILLE,CO,27529.14
"MANDAGERE, KELLY A",Endocrinology,LOUISVILLE,CO,27315.60
