Provider,Specialty,City,State / Country,Total Medicare payments
AMERIDRUG LABORATORIES INC,Clinical Laboratory,LOVELAND,CO,2815225.35
HORIZON LABORATORY LLC,Clinical Laboratory,LOVELAND,CO,1679991.00
"LILLIS, PATRICK J",Dermatology,LOVELAND,CO,965416.12
THOMPSON VALLEY EMERGENCY MEDICAL SERVICES INC,Ambulance Service Supplier,LOVELAND,CO,744075.38
SUMMIT PATHOLOGY PLLP,Clinical Laboratory,LOVELAND,CO,613638.56
"KIRK, JOHN D",Ophthalmology,LOVELAND,CO,563579.70
EAGLEMED LLC,Ambulance Service Supplier,LOVELAND,CO,482776.39
"BRUCE, AARON M",Dermatology,LOVELAND,CO,397775.76
"LOVELAND ENDOSCOPY CENTER, LLC",Ambulatory Surgical Center,LOVELAND,CO,374514.63
"LOVELAND SURGICAL ENTERPRISES, LLC",Ambulatory Surgical Center,LOVELAND,CO,372545.87
"STRONG, LEWIS R",Gastroenterology,LOVELAND,CO,297291.96
"LANGER, DANIEL A",Gastroenterology,LOVELAND,CO,278556.09
"CECIL, JENNIFER D",Ophthalmology,LOVELAND,CO,248262.13
"KOST, DEBBIE",Physical Therapist,LOVELAND,CO,230149.08
"HOOVER, AARON Z",Dermatology,LOVELAND,CO,217064.40
"SEARS, STEPHEN R",Gastroenterology,LOVELAND,CO,197867.17
"CEILLEY, ELIZABETH A",Radiation Oncology,LOVELAND,CO,185875.20
"NORTH, CRYSTAL M",Gastroenterology,LOVELAND,CO,181007.86
LOVELAND SURGERY CENTER LLC,Ambulatory Surgical Center,LOVELAND,CO,180174.52
"SLOAN, LISA L",Occupational therapist,LOVELAND,CO,175338.34
"DONNER, EDWARD J",Orthopedic Surgery,LOVELAND,CO,157118.18
"WITT, PETER C",Gastroenterology,LOVELAND,CO,149387.79
"SMITH, PETER C",Internal Medicine,LOVELAND,CO,143990.92
"BEE, CHRISTOPHER S",Pathology,LOVELAND,CO,136719.93
"MILCHAK, RICHARD",Critical Care (Intensivists),LOVELAND,CO,114214.52
"LIBBY, ARLENE L",Pathology,LOVELAND,CO,113390.09
"WILDEMAN, CHRISTINE L",Geriatric Medicine,LOVELAND,CO,111759.39
"PEARSON, ANTONY",Family Practice,LOVELAND,CO,110615.89
"HIMES, TERRY M",Neurology,LOVELAND,CO,110528.63
"TELLO, ROBERT J",Internal Medicine,LOVELAND,CO,104959.09
"KEEFE, KEVIN W",Internal Medicine,LOVELAND,CO,99623.32
"PETERS, BRENT T",Critical Care (Intensivists),LOVELAND,CO,99009.43
"JACOB, PREMA M",Family Practice,LOVELAND,CO,99000.67
"NAGY, MICHAEL S",Psychiatry,LOVELAND,CO,97484.26
"GUADAGNOLI, MARK D",Cardiac Surgery,LOVELAND,CO,96446.86
"FLAKE, ZACHARY A",Family Practice,LOVELAND,CO,96239.09
"NEUHAUSER, THOMAS S",Pathology,LOVELAND,CO,95722.79
"CHEN, EDWARD",Internal Medicine,LOVELAND,CO,95086.26
"PARLIMENT, JOEL W",Internal Medicine,LOVELAND,CO,94987.76
"STEVENS, ERIC",Critical Care (Intensivists),LOVELAND,CO,93777.29
"DOUTHIT, MARK B",Cardiac Surgery,LOVELAND,CO,92185.93
"CHRISTIAN, JAMES D",Pathology,LOVELAND,CO,88765.13
"KING, KERRY",Gastroenterology,LOVELAND,CO,86670.32
"KUKAFKA, DAVID",Critical Care (Intensivists),LOVELAND,CO,85982.07
"WEBSTER, DOUGLAS S",Internal Medicine,LOVELAND,CO,85456.29
"LOPEZ, WILLIAM",Internal Medicine,LOVELAND,CO,77126.06
"SCHMITT, JOSEPH W",Neurology,LOVELAND,CO,75891.73
"GILL, SARVJIT S",Otolaryngology,LOVELAND,CO,72726.48
"CUERVO, JULIA",Internal Medicine,LOVELAND,CO,71598.88
"KULM, JEROME",Physical Therapist,LOVELAND,CO,71207.26
ROCKY MOUNTAIN RADIOLOGY CENTER LLC,Independent Diagnostic Testing Facility,LOVELAND,CO,70685.39
"QUILLEN, JAMES E",Cardiology,LOVELAND,CO,70581.88
"ANDERSON, THOMAS M",General Practice,LOVELAND,CO,69209.28
"HOLLOS, LORI A",Family Practice,LOVELAND,CO,69017.03
"STANTON, MICHAEL W",Cardiac Surgery,LOVELAND,CO,68364.43
"NORMAN, EDWARD A",Internal Medicine,LOVELAND,CO,67803.63
"STROH, ANN L",Medical Oncology,LOVELAND,CO,67048.17
"BAIR, SARAH M",Dermatology,LOVELAND,CO,66757.10
"MATTHEW, THOMAS L",Cardiac Surgery,LOVELAND,CO,66513.09
"SNODGRASS, DAVID S",Family Practice,LOVELAND,CO,65974.70
"BENECK, JOHN C",Physical Therapist,LOVELAND,CO,62906.61
"SUGAR, MELISSA D",Internal Medicine,LOVELAND,CO,60176.03
"JOHAR, JASJOT S",Emergency Medicine,LOVELAND,CO,59240.65
"BANDI, SRINIVAS",Neurology,LOVELAND,CO,57047.03
"HAILEY, MARK A",Family Practice,LOVELAND,CO,56963.46
"POLKA, RHETT E",Physical Therapist,LOVELAND,CO,56169.28
"HIPP, NAOMI J",Internal Medicine,LOVELAND,CO,55575.72
"SAMMOND, WILLIAM H",Cardiology,LOVELAND,CO,54286.39
"GILMORENO DE MORA, RODRIGO",Physical Therapist,LOVELAND,CO,53907.21
"HOFFMANN, JULIE A",Family Practice,LOVELAND,CO,53817.49
"HUGHES, GREGORY B",Endocrinology,LOVELAND,CO,53801.42
"JONES, KEVIN W",Occupational therapist,LOVELAND,CO,53623.42
"PIZZI, CATHERINE C",Pathology,LOVELAND,CO,53086.46
"DONAHUE, KIMBERLY A",Physical Therapist,LOVELAND,CO,53075.63
"COPPLE, SHEILA A",Internal Medicine,LOVELAND,CO,52693.89
"FRICKMAN, CARL E",Family Practice,LOVELAND,CO,49661.22
"ARGUELLO, DANIEL",Emergency Medicine,LOVELAND,CO,48963.67
"SCHULTZ, PETER D",Podiatry,LOVELAND,CO,46923.12
"SHELANSKI, SAMUEL A",Hematology,LOVELAND,CO,44892.73
"MINOR, NEEKA A",Physical Therapist,LOVELAND,CO,44279.44
"GOLD, FAWN",Speech Language Pathologist,LOVELAND,CO,43614.70
"LYNCH, KATHRYN L",Gastroenterology,LOVELAND,CO,43484.68
"ANDERSON, BRIDGET L",Physical Therapist,LOVELAND,CO,43155.95
"FRIEDMAN, SHERI J",Neurology,LOVELAND,CO,42065.98
"WIDDEL, LARS",Neurosurgery,LOVELAND,CO,41970.02
"MEREDITH, LAWRENCE A",Neurology,LOVELAND,CO,41648.21
"BUSSE, ROBERT W",Physical Therapist,LOVELAND,CO,41554.63
"CULVER, WILLIAM",Allergy/Immunology,LOVELAND,CO,39254.13
"SHERLOCK, PATRICK F",Chiropractic,LOVELAND,CO,38162.13
"HARTWICK, JON",Physical Therapist,LOVELAND,CO,38059.86
"CABRERA, ANTHONY J",Family Practice,LOVELAND,CO,37401.54
"SMIDDY, JARED",Physical Therapist,LOVELAND,CO,35823.61
"CRANE, JOHN T",Obstetrics/Gynecology,LOVELAND,CO,34907.07
"YOUNG, ERIC E",Orthopedic Surgery,LOVELAND,CO,34679.26
"REENTS, WILLIAM J",Family Practice,LOVELAND,CO,34131.66
"HAND, TRAVIS",Physical Therapist,LOVELAND,CO,33791.97
"TARTAGLIA, LOUIS",Orthopedic Surgery,LOVELAND,CO,33141.24
"O'HARE, HALEY D",Speech Language Pathologist,LOVELAND,CO,33014.96
"MCCABE LENTZ, JENNIFER L",Family Practice,LOVELAND,CO,32974.77
"BLOMQUIST, THOMAS M",General Surgery,LOVELAND,CO,32015.13
"FELIX, KEVIN A",Family Practice,LOVELAND,CO,30972.07
"DAVIES, ANN T",Family Practice,LOVELAND,CO,29732.48
"AGRAMA, SUSAN D",Internal Medicine,LOVELAND,CO,29242.57
"COLVIN, JOHN W",Optometry,LOVELAND,CO,27947.91
"ZINK, LENNEA",Physical Therapist,LOVELAND,CO,27570.61
SAFEWAY INC,Mass Immunization Roster Biller,LOVELAND,CO,25551.15
"DUPPER, ROBERT",Emergency Medicine,LOVELAND,CO,25425.34
"TALIAFERRO, JOHN P",Family Practice,LOVELAND,CO,25094.47
"BOEDING, MARVIN A",Clinical Psychologist,LOVELAND,CO,24650.79
"DUBIN, JEREMY A",Family Practice,LOVELAND,CO,24253.38
"ROSS, ANDREW L",Physical Therapist,LOVELAND,CO,23978.27
"RULE, INGRID K",Family Practice,LOVELAND,CO,23641.56
"ALLEN, THOMAS J",Family Practice,LOVELAND,CO,22515.65
"HOLM JOHANSEN, JON EIRIK",Chiropractic,LOVELAND,CO,22426.00
"OTT, BRADLEY J",Physical Therapist,LOVELAND,CO,21766.83
"YEH, ERIC M",Obstetrics/Gynecology,LOVELAND,CO,21649.96
PROFESSIONAL PHARMACY SERVICES,Mass Immunization Roster Biller,LOVELAND,CO,21452.92
"JONES, CHRISTOPHER E",Internal Medicine,LOVELAND,CO,21337.66
"REEVES, AMY L",Chiropractic,LOVELAND,CO,20668.81
"FIRESTEIN, BETH A",Clinical Psychologist,LOVELAND,CO,20414.25
"BANFORD, DAVID M",Optometry,LOVELAND,CO,20373.46
"SCOTT, TRENTON",Chiropractic,LOVELAND,CO,20243.47
"LOEB, MARK H",Family Practice,LOVELAND,CO,20147.56
"SHOTTS, BRUCE L",Chiropractic,LOVELAND,CO,19377.76
"RISENHOOVER, EDWIN D",Family Practice,LOVELAND,CO,19019.28
"METZLER, MICHAEL H",General Surgery,LOVELAND,CO,18460.63
"BECK, SUSAN M",Family Practice,LOVELAND,CO,18327.66
"SCHMIDOVA, KARIN",General Surgery,LOVELAND,CO,18247.34
