Provider,Specialty,City,State / Country,Total Medicare payments
"WEISS, JUDY",Internal Medicine,WESTMINSTER,CO,756386.11
CITY OF WESTMINSTER COLORADO,Ambulance Service Supplier,WESTMINSTER,CO,341405.24
WILLIAM G SELF JR MD PC,Ambulatory Surgical Center,WESTMINSTER,CO,314991.60
"SELF, WILLIAM G",Ophthalmology,WESTMINSTER,CO,297414.34
"ENGELSTAD, MARK D",Family Practice,WESTMINSTER,CO,262584.72
"ESSON, MATTHEW L",Nephrology,WESTMINSTER,CO,197060.20
"BOYLE, SHEILA R",Dermatology,WESTMINSTER,CO,170443.18
"ANGER, MICHAEL S",Nephrology,WESTMINSTER,CO,167695.98
"THOMPSON, DONALD C",Cardiology,WESTMINSTER,CO,156734.82
"MAY, KEVIN M",Ophthalmology,WESTMINSTER,CO,141997.21
"BENEDICT, CLAUDIA K",Cardiology,WESTMINSTER,CO,121162.70
"PETRINA, MIRCEA M",Cardiology,WESTMINSTER,CO,110146.54
"WALTER, HARRY J",Family Practice,WESTMINSTER,CO,106426.61
"SINGH, RUPINDER",Internal Medicine,WESTMINSTER,CO,101956.95
"CHANG, INGRID",Nephrology,WESTMINSTER,CO,101438.58
"BURNETT, KAREN",Family Practice,WESTMINSTER,CO,86773.76
"PACHECO, JOSE P",Cardiology,WESTMINSTER,CO,85666.48
"MARTAU, JAMES M",Internal Medicine,WESTMINSTER,CO,83671.95
"LEVEY, SETH A",Nephrology,WESTMINSTER,CO,83349.78
"ORTIZ, WENDY R",Physician Assistant,WESTMINSTER,CO,77942.34
"CHERTKOVA, ELENA L",Family Practice,WESTMINSTER,CO,68188.19
"BARFIELD, LAWRENCE F",Dermatology,WESTMINSTER,CO,62539.99
"NORTHWEST REGIONAL ASC, LLC",Ambulatory Surgical Center,WESTMINSTER,CO,56288.28
"ERLING, BRIAN F",Emergency Medicine,WESTMINSTER,CO,56133.68
"HIRONS, GREGORY T",Family Practice,WESTMINSTER,CO,54827.69
"OZBAY, BEHICE",Family Practice,WESTMINSTER,CO,52242.59
"LAST, MICHAEL A",Internal Medicine,WESTMINSTER,CO,52113.95
"GORDON, JOHN D",Family Practice,WESTMINSTER,CO,46945.52
"ZHU, YAN I",Dermatology,WESTMINSTER,CO,46404.63
"BOOKOUT, DAVID B",Physical Therapist,WESTMINSTER,CO,46362.56
"SPRAGUE, MATTHEW",Physical Therapist,WESTMINSTER,CO,46191.12
"DROTTS, LISA M",Clinical Psychologist,WESTMINSTER,CO,45882.79
"HANLON, MARGARET A",Physical Therapist,WESTMINSTER,CO,42482.74
"GRAY, ROBERT M",Clinical Psychologist,WESTMINSTER,CO,42398.53
"HOLLEY, PAULETTE G",Urology,WESTMINSTER,CO,42347.22
"WILLIAMS, MEREDITH S",Physician Assistant,WESTMINSTER,CO,40925.53
"BARTER, MARK",Endocrinology,WESTMINSTER,CO,39292.57
"HARBES KINZELER, LINDA",Physical Therapist,WESTMINSTER,CO,38277.00
"CHRISTIANSSEN, KEITH E",Physical Therapist,WESTMINSTER,CO,34648.19
"HARDEN, HOWARD C",CRNA,WESTMINSTER,CO,32905.33
"STONEBERGER, CASEY",Physical Therapist,WESTMINSTER,CO,32664.05
"ROLFSON, BRIAN K",Emergency Medicine,WESTMINSTER,CO,31140.32
"LEE, MAI H",Internal Medicine,WESTMINSTER,CO,30396.92
"TRAIL, JULIE",Physical Therapist,WESTMINSTER,CO,29756.44
"TUSEK, DAVID Z",Family Practice,WESTMINSTER,CO,28762.17
"STRAUB, MARIA B",Family Practice,WESTMINSTER,CO,28164.27
"QUACH, SHARON T",Podiatry,WESTMINSTER,CO,25870.94
"LUDEMANN, MATTHEW R",Family Practice,WESTMINSTER,CO,25002.55
"SMITH, ROBIN L",Family Practice,WESTMINSTER,CO,24543.62
"HAMMOND, ROBERT S",Family Practice,WESTMINSTER,CO,24438.93
"MAEDER, GREGORY S",Family Practice,WESTMINSTER,CO,24213.38
"PARODI, KATHERINE K",Podiatry,WESTMINSTER,CO,23879.18
"POMERANTZ, JACOB M",Clinical Psychologist,WESTMINSTER,CO,23847.97
"LEMONT, LAURA",Family Practice,WESTMINSTER,CO,23194.06
"JOHNSON, KAREN A",Family Practice,WESTMINSTER,CO,22918.79
"DOWDY, SUSAN B",Family Practice,WESTMINSTER,CO,22863.71
"NICKEL, KYLE C",General Surgery,WESTMINSTER,CO,22453.62
"LAU, DANIEL S",Family Practice,WESTMINSTER,CO,20963.24
"SIDHU, AMARBIR K",Family Practice,WESTMINSTER,CO,20732.55
"SAFFER, TRACY",Family Practice,WESTMINSTER,CO,20178.82
"NOUHI, SEPEIDEH S",Family Practice,WESTMINSTER,CO,19580.05
"EULBERG, MARNY K",Family Practice,WESTMINSTER,CO,17672.82
"LEWAN, TIMOTHY M",Family Practice,WESTMINSTER,CO,16460.95
"MILES, CAROLINE S",Internal Medicine,WESTMINSTER,CO,15597.26
"CHU, STEPHANIE M",Family Practice,WESTMINSTER,CO,14871.35
"ETIENNE, CLIFTON",Family Practice,WESTMINSTER,CO,14374.20
"GARLITZ, JAMES C",General Surgery,WESTMINSTER,CO,14341.19
"STRAIN, NANCY E",Family Practice,WESTMINSTER,CO,14318.54
"CAVANAGH, MICHAEL K",Family Practice,WESTMINSTER,CO,14262.87
"BANCHERO, ROBERT A",Clinical Psychologist,WESTMINSTER,CO,13703.70
"JENDRY, RONALD J",Family Practice,WESTMINSTER,CO,13579.49
"SEARS, BENJAMIN W",Orthopedic Surgery,WESTMINSTER,CO,13441.81
"DODSON, WILLIAM H",Family Practice,WESTMINSTER,CO,13177.19
"MCELWAIN, CATHERINE",Nurse Practitioner,WESTMINSTER,CO,12791.10
"NGUYEN, MAI",Psychiatry,WESTMINSTER,CO,11502.25
"KIRK, JUDE J",Family Practice,WESTMINSTER,CO,11293.33
"AULT, KRISTA L",Family Practice,WESTMINSTER,CO,11069.53
"BACH, IAN S",Family Practice,WESTMINSTER,CO,10994.40
"HASTIE, LISA",Family Practice,WESTMINSTER,CO,10993.08
"KLOOR, RANDALL L",Chiropractic,WESTMINSTER,CO,10915.30
"STEELE, PETER P",Internal Medicine,WESTMINSTER,CO,10909.48
"WAGNER, ROBERT H",Optometry,WESTMINSTER,CO,10627.78
"SCHULZ, ANDREW P",Family Practice,WESTMINSTER,CO,10607.83
"BRINKMAN, REBECCA A",Chiropractic,WESTMINSTER,CO,10295.97
